wall_epoch,index,pcie.link.gen.current,pcie.link.gen.max,pcie.link.width.current,pcie.link.width.max,temperature.gpu,utilization.gpu,utilization.memory,memory.used,power.draw,clocks.current.sm,clocks.current.memory
1781648666.922,1,3,3,4,16,55,79,59,14545,98.49,2775,13801
1781648666.922,2,3,3,4,16,60,95,72,14545,102.07,2812,13801
1781648667.921,1,3,3,4,16,52,0,0,14545,40.91,2775,13801
1781648667.921,2,3,3,4,16,53,0,0,14545,44.80,2812,13801
1781648668.920,1,3,3,4,16,51,0,0,14545,27.26,2715,13801
1781648668.920,2,3,3,4,16,53,0,0,14545,37.85,2707,13801
1781648669.922,1,3,3,4,16,51,0,0,14545,24.42,2565,13801
1781648669.922,2,3,3,4,16,52,0,0,14545,25.59,2595,13801
1781648670.923,1,3,3,4,16,50,0,0,14545,24.34,2565,13801
1781648670.923,2,3,3,4,16,52,0,0,14545,20.37,2595,13801
1781648671.922,1,3,3,4,16,50,0,0,14545,24.19,2565,13801
1781648671.922,2,3,3,4,16,52,0,0,14545,20.23,2595,13801
1781648672.922,1,3,3,4,16,50,0,0,14545,24.14,2565,13801
1781648672.922,2,3,3,4,16,52,0,0,14545,20.23,2595,13801
1781648673.919,1,3,3,4,16,49,0,0,14545,24.04,2565,13801
1781648673.919,2,3,3,4,16,51,0,0,14545,20.24,2595,13801
1781648674.924,1,3,3,4,16,49,0,0,14545,24.01,2565,13801
1781648674.924,2,3,3,4,16,51,0,0,14545,20.25,2595,13801
1781648675.931,1,3,3,4,16,52,100,12,14545,33.37,2760,13801
1781648675.931,2,3,3,4,16,55,100,14,14545,23.20,2797,13801
1781648676.933,1,3,3,4,16,53,100,10,14545,60.96,2767,13801
1781648676.933,2,3,3,4,16,55,100,11,14545,60.97,2805,13801
1781648677.930,1,3,3,4,16,53,100,12,14545,58.65,2767,13801
1781648677.930,2,3,3,4,16,59,100,12,14545,58.22,2805,13801
1781648678.932,1,3,3,4,16,52,100,11,14545,58.55,2767,13801
1781648678.932,2,3,3,4,16,56,100,12,14545,58.10,2805,13801
1781648679.938,1,3,3,4,16,53,97,61,14545,79.31,2767,13801
1781648679.938,2,3,3,4,16,57,98,59,14545,76.44,2805,13801
1781648680.936,1,3,3,4,16,53,97,58,14545,86.68,2767,13801
1781648680.936,2,3,3,4,16,57,97,62,14545,89.10,2805,13801
1781648681.937,1,3,3,4,16,53,98,59,14545,86.60,2767,13801
1781648681.937,2,3,3,4,16,57,96,62,14545,89.24,2805,13801
1781648682.936,1,3,3,4,16,53,98,61,14545,86.64,2767,13801
1781648682.936,2,3,3,4,16,57,97,61,14545,89.33,2805,13801
1781648683.936,1,3,3,4,16,53,97,61,14545,86.87,2767,13801
1781648683.936,2,3,3,4,16,58,97,60,14545,89.55,2805,13801
1781648684.936,1,3,3,4,16,53,97,60,14545,86.78,2767,13801
1781648684.936,2,3,3,4,16,58,98,60,14545,89.53,2805,13801
1781648685.937,1,3,3,4,16,53,97,59,14545,86.88,2767,13801
1781648685.937,2,3,3,4,16,58,98,62,14545,89.80,2805,13801
1781648686.937,1,3,3,4,16,53,98,58,14545,86.91,2767,13801
1781648686.937,2,3,3,4,16,58,97,62,14545,89.92,2805,13801
1781648687.938,1,3,3,4,16,53,98,61,14545,86.90,2767,13801
1781648687.938,2,3,3,4,16,58,97,62,14545,89.98,2805,13801
1781648688.938,1,3,3,4,16,53,97,61,14545,86.74,2767,13801
