wall_epoch,index,pcie.link.gen.current,pcie.link.gen.max,pcie.link.width.current,pcie.link.width.max,temperature.gpu,utilization.gpu,utilization.memory,memory.used,power.draw,clocks.current.sm,clocks.current.memory
1781655476.237,1,3,3,4,16,51,0,0,14661,89.43,2767,13801
1781655476.237,2,3,3,4,16,56,0,0,14661,88.34,2812,13801
1781655477.238,1,3,3,4,16,48,0,0,14661,39.43,2782,13801
1781655477.238,2,3,3,4,16,51,0,0,14661,49.88,2812,13801
1781655478.239,1,3,3,4,16,48,0,0,14661,26.20,2782,13801
1781655478.239,2,3,3,4,16,50,0,0,14661,26.11,2827,13801
1781655479.236,1,3,3,4,16,48,0,0,14661,23.59,2565,13801
1781655479.236,2,3,3,4,16,50,0,0,14661,20.23,2595,13801
1781655480.237,1,3,3,4,16,48,0,0,14661,23.56,2565,13801
1781655480.237,2,3,3,4,16,49,0,0,14661,20.09,2595,13801
1781655481.238,1,3,3,4,16,48,0,0,14661,23.57,2565,13801
1781655481.238,2,3,3,4,16,49,0,0,14661,20.09,2595,13801
1781655482.239,1,3,3,4,16,47,0,0,14661,23.62,2565,13801
1781655482.239,2,3,3,4,16,48,0,0,14661,20.06,2595,13801
1781655483.239,1,3,3,4,16,47,0,0,14661,23.44,2565,13801
1781655483.239,2,3,3,4,16,48,0,0,14661,20.06,2595,13801
1781655484.239,1,3,3,4,16,47,0,0,14661,23.58,2565,13801
1781655484.239,2,3,3,4,16,48,0,0,14661,20.06,2595,13801
1781655485.247,1,3,3,4,16,52,100,12,14661,37.15,2760,13801
1781655485.247,2,3,3,4,16,52,100,14,14661,36.42,2797,13801
1781655486.248,1,3,3,4,16,51,100,11,14661,59.32,2767,13801
1781655486.248,2,3,3,4,16,53,100,11,14661,59.26,2805,13801
1781655487.246,1,3,3,4,16,51,100,11,14661,58.46,2775,13801
1781655487.246,2,3,3,4,16,52,100,12,14661,57.94,2805,13801
1781655488.262,1,3,3,4,16,51,100,12,14661,60.70,2760,13801
1781655488.262,2,3,3,4,16,52,100,16,14661,61.07,2797,13801
1781655489.254,1,3,3,4,16,53,97,61,14661,81.72,2767,13801
1781655489.254,2,3,3,4,16,54,98,61,14661,85.80,2805,13801
1781655490.253,1,3,3,4,16,53,97,60,14661,86.14,2767,13801
1781655490.253,2,3,3,4,16,54,98,61,14661,88.43,2805,13801
1781655491.254,1,3,3,4,16,54,98,59,14661,86.35,2767,13801
1781655491.254,2,3,3,4,16,54,97,62,14661,88.49,2805,13801
1781655492.254,1,3,3,4,16,54,98,60,14661,86.56,2767,13801
1781655492.254,2,3,3,4,16,54,96,61,14661,88.51,2805,13801
1781655493.256,1,3,3,4,16,54,97,61,14661,86.50,2767,13801
1781655493.256,2,3,3,4,16,54,97,60,14661,88.28,2805,13801
1781655494.254,1,3,3,4,16,54,97,60,14661,86.57,2767,13801
1781655494.254,2,3,3,4,16,54,98,59,14661,88.55,2805,13801
1781655495.253,1,3,3,4,16,54,97,59,14661,86.70,2767,13801
1781655495.253,2,3,3,4,16,55,98,63,14661,88.66,2805,13801
1781655496.251,1,3,3,4,16,54,98,58,14661,86.75,2767,13801
1781655496.251,2,3,3,4,16,54,97,62,14661,88.86,2805,13801
1781655497.253,1,3,3,4,16,54,98,61,14661,86.81,2767,13801
1781655497.253,2,3,3,4,16,54,97,62,14661,88.76,2805,13801
1781655498.252,1,3,3,4,16,54,97,61,14661,86.80,2767,13801
1781655498.252,2,3,3,4,16,54,97,59,14661,88.72,2805,13801
1781655499.253,1,3,3,4,16,54,97,60,14661,86.75,2767,13801
1781655499.253,2,3,3,4,16,55,98,60,14661,88.72,2805,13801
1781655500.252,1,3,3,4,16,54,97,58,14661,87.02,2767,13801
1781655500.252,2,3,3,4,16,55,98,62,14661,88.77,2805,13801
1781655501.253,1,3,3,4,16,54,98,59,14661,86.89,2767,13801
1781655501.253,2,3,3,4,16,55,97,62,14661,88.77,2805,13801
1781655502.252,1,3,3,4,16,55,98,59,14661,86.70,2767,13801
1781655502.252,2,3,3,4,16,55,97,62,14661,88.73,2805,13801
1781655503.257,1,3,3,4,16,55,98,61,14661,87.20,2767,13801
1781655503.257,2,3,3,4,16,55,97,62,14661,88.85,2805,13801
1781655504.255,1,3,3,4,16,55,97,61,14661,87.10,2767,13801
1781655504.255,2,3,3,4,16,55,97,60,14661,88.70,2805,13801
1781655505.249,1,3,3,4,16,53,100,13,14661,69.49,2760,13801
