wall_epoch,index,pcie.link.gen.current,pcie.link.gen.max,pcie.link.width.current,pcie.link.width.max,temperature.gpu,utilization.gpu,utilization.memory,memory.used,power.draw,clocks.current.sm,clocks.current.memory
1781643450.744,1,3,3,4,16,46,0,0,13915,82.78,2782,13801
1781643450.744,2,3,3,4,16,58,0,0,13915,93.77,2797,13801
1781643451.744,1,3,3,4,16,44,0,0,13915,31.94,2782,13801
1781643451.744,2,3,3,4,16,56,0,0,13915,37.06,2812,13801
1781643452.744,1,3,3,4,16,44,0,0,13915,25.23,2715,13801
1781643452.744,2,3,3,4,16,55,0,0,13915,28.48,2812,13801
1781643453.743,1,3,3,4,16,43,0,0,13915,22.47,2565,13801
1781643453.743,2,3,3,4,16,54,0,0,13915,25.07,2595,13801
1781643454.743,1,3,3,4,16,43,0,0,13915,22.40,2565,13801
1781643454.743,2,3,3,4,16,54,0,0,13915,21.53,2595,13801
1781643455.744,1,3,3,4,16,43,0,0,13915,22.24,2565,13801
1781643455.744,2,3,3,4,16,53,0,0,13915,21.27,2595,13801
1781643456.745,1,3,3,4,16,43,0,0,13915,22.23,2565,13801
1781643456.745,2,3,3,4,16,53,0,0,13915,21.02,2595,13801
1781643457.746,1,3,3,4,16,42,0,0,13915,22.15,2565,13801
1781643457.746,2,3,3,4,16,53,0,0,13915,20.88,2595,13801
1781643458.748,1,3,3,4,16,42,0,0,13915,22.09,2565,13801
1781643458.748,2,3,3,4,16,53,0,0,13915,20.88,2595,13801
1781643459.766,1,3,3,4,16,48,96,75,13915,59.78,2775,13801
1781643459.766,2,3,3,4,16,60,95,76,13915,62.47,2797,13801
1781643460.770,1,3,3,4,16,48,96,75,13915,98.60,2775,13801
1781643460.770,2,3,3,4,16,60,96,76,13915,106.61,2797,13801
1781643461.767,1,3,3,4,16,49,96,76,13915,98.70,2775,13801
1781643461.767,2,3,3,4,16,60,96,76,13915,106.66,2797,13801
1781643462.760,1,3,3,4,16,49,96,77,13915,98.91,2775,13801
1781643462.760,2,3,3,4,16,60,96,76,13915,106.92,2797,13801
1781643463.760,1,3,3,4,16,50,95,75,13915,99.03,2775,13801
1781643463.760,2,3,3,4,16,60,96,76,13915,107.12,2797,13801
1781643464.765,1,3,3,4,16,50,95,74,13915,98.74,2775,13801
1781643464.765,2,3,3,4,16,60,96,76,13915,107.02,2797,13801
1781643465.764,1,3,3,4,16,49,96,74,13915,98.84,2775,13801
1781643465.764,2,3,3,4,16,60,96,77,13915,107.00,2797,13801
1781643466.764,1,3,3,4,16,49,96,74,13915,98.77,2775,13801
1781643466.764,2,3,3,4,16,60,96,76,13915,106.98,2797,13801
1781643467.764,1,3,3,4,16,49,96,74,13915,98.79,2775,13801
1781643467.764,2,3,3,4,16,60,96,76,13915,106.90,2797,13801
1781643468.765,1,3,3,4,16,49,96,74,13915,98.61,2775,13801
1781643468.765,2,3,3,4,16,60,96,76,13915,106.89,2797,13801
1781643469.762,1,3,3,4,16,49,96,74,13915,98.51,2775,13801
1781643469.762,2,3,3,4,16,60,96,76,13915,106.73,2797,13801
1781643470.764,1,3,3,4,16,50,95,73,13915,98.40,2775,13801
1781643470.764,2,3,3,4,16,60,96,75,13915,106.73,2797,13801
1781643471.764,1,3,3,4,16,47,100,18,13915,82.22,2767,13801
1781643471.764,2,3,3,4,16,58,100,20,13915,89.82,2797,13801
1781643472.763,1,3,3,4,16,49,95,74,13915,92.35,2775,13801
1781643472.763,2,3,3,4,16,60,96,77,13915,99.03,2797,13801
1781643473.765,1,3,3,4,16,49,96,74,13915,99.05,2775,13801
1781643473.765,2,3,3,4,16,61,96,78,13915,107.48,2797,13801
1781643474.760,1,3,3,4,16,49,96,75,13915,99.15,2775,13801
1781643474.760,2,3,3,4,16,62,95,76,13915,107.88,2797,13801
1781643475.766,1,3,3,4,16,49,96,75,13915,99.18,2775,13801
1781643475.766,2,3,3,4,16,62,95,75,13915,107.41,2797,13801
1781643476.768,1,3,3,4,16,49,96,75,13915,99.17,2775,13801
1781643476.768,2,3,3,4,16,61,96,76,13915,107.35,2797,13801
1781643477.764,1,3,3,4,16,49,96,75,13915,99.15,2775,13801
1781643477.764,2,3,3,4,16,61,96,76,13915,107.29,2797,13801
1781643478.763,1,3,3,4,16,50,96,76,13915,99.29,2775,13801
1781643478.763,2,3,3,4,16,61,96,76,13915,107.55,2797,13801
1781643479.765,1,3,3,4,16,50,95,75,13915,99.26,2775,13801
1781643479.765,2,3,3,4,16,61,96,76,13915,107.43,2797,13801
1781643480.761,1,3,3,4,16,50,95,74,13915,98.98,2775,13801
1781643480.761,2,3,3,4,16,61,96,76,13915,107.40,2797,13801
1781643481.767,1,3,3,4,16,50,95,73,13915,99.03,2775,13801
1781643481.767,2,3,3,4,16,61,96,76,13915,107.47,2797,13801
1781643482.763,1,3,3,4,16,50,95,73,13915,98.85,2775,13801
1781643482.763,2,3,3,4,16,61,96,76,13915,107.28,2797,13801
1781643483.765,1,3,3,4,16,50,95,74,13915,98.96,2775,13801
1781643483.765,2,3,3,4,16,61,96,76,13915,107.30,2797,13801
1781643484.766,1,3,3,4,16,50,96,74,13915,98.90,2775,13801
1781643484.766,2,3,3,4,16,61,96,76,13915,107.39,2797,13801
1781643485.765,1,3,3,4,16,50,96,74,13915,98.81,2775,13801
1781643485.765,2,3,3,4,16,61,96,77,13915,107.60,2797,13801
1781643486.766,1,3,3,4,16,50,96,74,13915,98.89,2775,13801
1781643486.766,2,3,3,4,16,61,95,76,13915,107.36,2797,13801
1781643487.762,1,3,3,4,16,50,95,74,13915,98.89,2775,13801
1781643487.762,2,3,3,4,16,61,96,76,13915,107.43,2797,13801
1781643488.763,1,3,3,4,16,50,95,73,13915,98.84,2775,13801
1781643488.763,2,3,3,4,16,61,96,76,13915,107.50,2797,13801
1781643489.762,1,3,3,4,16,50,95,74,13915,98.87,2775,13801
1781643489.762,2,3,3,4,16,61,96,76,13915,107.28,2797,13801
1781643490.763,1,3,3,4,16,50,95,74,13915,98.88,2775,13801
1781643490.763,2,3,3,4,16,61,96,76,13915,107.43,2797,13801
1781643491.762,1,3,3,4,16,50,95,76,13915,98.41,2775,13801
1781643491.762,2,3,3,4,16,61,96,75,13915,107.37,2797,13801
1781643492.765,1,3,3,4,16,50,96,76,13915,98.81,2775,13801
1781643492.765,2,3,3,4,16,62,96,75,13915,107.55,2797,13801
1781643493.774,1,3,3,4,16,50,96,74,13915,97.02,2775,13801
1781643493.774,2,3,3,4,16,61,96,76,13915,105.09,2797,13801
1781643494.764,1,3,3,4,16,50,95,75,13915,98.52,2775,13801
1781643494.764,2,3,3,4,16,62,96,75,13915,107.12,2797,13801
1781643495.767,1,3,3,4,16,48,100,18,13915,86.17,2767,13801
1781643495.767,2,3,3,4,16,60,100,19,13915,93.11,2790,13801
1781643496.768,1,3,3,4,16,50,96,75,13915,89.24,2775,13801
