wall_epoch,index,pcie.link.gen.current,pcie.link.gen.max,pcie.link.width.current,pcie.link.width.max,temperature.gpu,utilization.gpu,utilization.memory,memory.used,power.draw,clocks.current.sm,clocks.current.memory
1781658322.207,1,3,3,4,16,45,95,73,14127,96.83,2782,13801
1781658322.207,2,3,3,4,16,61,96,75,14127,107.24,2805,13801
1781658323.206,1,3,3,4,16,39,0,0,14127,46.85,2797,13801
1781658323.206,2,3,3,4,16,55,0,0,14127,47.40,2812,13801
1781658324.206,1,3,3,4,16,39,0,0,14127,27.50,2797,13801
1781658324.206,2,3,3,4,16,55,0,0,14127,33.64,2812,13801
1781658325.206,1,3,3,4,16,38,0,0,14127,24.49,2565,13801
1781658325.206,2,3,3,4,16,54,0,0,14127,27.14,2595,13801
1781658326.206,1,3,3,4,16,38,0,0,14127,21.28,2565,13801
1781658326.206,2,3,3,4,16,53,0,0,14127,23.92,2595,13801
1781658327.207,1,3,3,4,16,37,0,0,14127,21.28,2565,13801
1781658327.207,2,3,3,4,16,53,0,0,14127,20.75,2595,13801
1781658328.208,1,3,3,4,16,37,0,0,14127,21.32,2565,13801
1781658328.208,2,3,3,4,16,52,0,0,14127,20.64,2595,13801
1781658329.207,1,3,3,4,16,37,0,0,14127,21.33,2565,13801
1781658329.207,2,3,3,4,16,52,0,0,14127,20.42,2595,13801
1781658330.206,1,3,3,4,16,37,0,0,14127,21.22,2565,13801
1781658330.206,2,3,3,4,16,52,0,0,14127,20.39,2595,13801
1781658331.225,1,3,3,4,16,41,100,17,14127,30.28,2782,13801
1781658331.225,2,3,3,4,16,57,100,19,14127,32.28,2797,13801
1781658332.222,1,3,3,4,16,42,100,16,14127,63.37,2790,13801
1781658332.222,2,3,3,4,16,58,98,35,14127,71.60,2812,13801
1781658333.222,1,3,3,4,16,42,96,72,14127,88.20,2775,13801
1781658333.222,2,3,3,4,16,58,96,73,14127,98.87,2812,13801
1781658334.221,1,3,3,4,16,43,96,71,14127,91.37,2775,13801
