wall_epoch,index,pcie.link.gen.current,pcie.link.gen.max,pcie.link.width.current,pcie.link.width.max,temperature.gpu,utilization.gpu,utilization.memory,memory.used,power.draw,clocks.current.sm,clocks.current.memory
1782559232.442,1,3,3,4,16,61,11,7,15283,78.52,2805,13801
1782559232.442,2,3,3,4,16,59,97,55,15283,81.10,2737,13801
1782559232.442,3,3,3,4,16,52,24,14,15283,77.58,2775,13801
1782559232.442,4,3,3,4,16,64,97,55,15283,82.83,2760,13801
1782559233.442,1,3,3,4,16,59,0,0,15283,36.22,2805,13801
1782559233.442,2,3,3,4,16,55,0,0,15283,45.20,2737,13801
1782559233.442,3,3,3,4,16,50,0,0,15283,33.22,2782,13801
1782559233.442,4,3,3,4,16,59,0,0,15283,38.16,2782,13801
1782559234.440,1,3,3,4,16,59,0,0,15283,28.24,2655,13801
1782559234.440,2,3,3,4,16,55,0,0,15283,35.60,2692,13801
1782559234.440,3,3,3,4,16,50,0,0,15283,25.74,2782,13801
1782559234.440,4,3,3,4,16,59,0,0,15283,32.48,2722,13801
1782559235.441,1,3,3,4,16,58,0,0,15283,25.75,2595,13801
1782559235.441,2,3,3,4,16,54,0,0,15283,27.14,2595,13801
1782559235.441,3,3,3,4,16,49,0,0,15283,24.43,2565,13801
1782559235.441,4,3,3,4,16,58,0,0,15283,26.59,2595,13801
1782559236.442,1,3,3,4,16,58,0,0,15283,23.09,2595,13801
1782559236.442,2,3,3,4,16,54,0,0,15283,24.04,2595,13801
1782559236.442,3,3,3,4,16,49,0,0,15283,23.10,2565,13801
1782559236.442,4,3,3,4,16,58,0,0,15283,24.43,2595,13801
1782559237.445,1,3,3,4,16,58,0,0,15283,22.79,2595,13801
1782559237.445,2,3,3,4,16,54,0,0,15283,24.01,2595,13801
1782559237.445,3,3,3,4,16,49,0,0,15283,23.01,2565,13801
1782559237.445,4,3,3,4,16,57,0,0,15283,22.23,2595,13801
1782559238.443,1,3,3,4,16,57,0,0,15283,22.76,2595,13801
1782559238.443,2,3,3,4,16,54,0,0,15283,23.98,2595,13801
1782559238.443,3,3,3,4,16,49,0,0,15283,22.88,2565,13801
1782559238.443,4,3,3,4,16,57,0,0,15283,22.05,2595,13801
1782559239.443,1,3,3,4,16,57,0,0,15283,22.65,2595,13801
1782559239.443,2,3,3,4,16,53,0,0,15283,23.93,2595,13801
1782559239.443,3,3,3,4,16,49,0,0,15283,22.92,2565,13801
1782559239.443,4,3,3,4,16,57,0,0,15283,21.97,2595,13801
1782559240.502,1,3,3,4,16,59,100,5,15303,27.72,2812,13801
1782559240.502,2,3,3,4,16,56,100,4,15303,29.08,2700,13801
1782559240.502,3,3,3,4,16,50,100,6,15303,25.84,2692,13801
1782559240.502,4,3,3,4,16,57,0,0,15303,21.81,2700,13801
1782559241.498,1,3,3,4,16,59,100,5,15303,49.04,2805,13801
1782559241.498,2,3,3,4,16,60,100,4,15303,45.72,2737,13801
1782559241.498,3,3,3,4,16,51,100,6,15303,45.60,2775,13801
1782559241.498,4,3,3,4,16,58,100,5,15303,32.70,2775,13801
1782559242.501,1,3,3,4,16,63,100,5,15303,49.59,2805,13801
1782559242.501,2,3,3,4,16,57,100,3,15303,45.66,2737,13801
1782559242.501,3,3,3,4,16,51,100,6,15303,46.03,2775,13801
1782559242.501,4,3,3,4,16,59,100,5,15303,45.46,2775,13801
1782559243.500,1,3,3,4,16,60,100,5,15303,50.48,2805,13801
1782559243.500,2,3,3,4,16,56,100,4,15303,46.25,2737,13801
1782559243.500,3,3,3,4,16,52,100,4,15303,45.69,2775,13801
1782559243.500,4,3,3,4,16,61,100,5,15303,45.60,2775,13801
1782559244.500,1,3,3,4,16,60,100,5,15303,49.90,2805,13801
1782559244.500,2,3,3,4,16,55,100,4,15303,45.64,2737,13801
1782559244.500,3,3,3,4,16,51,100,5,15303,45.74,2775,13801
1782559244.500,4,3,3,4,16,61,100,7,15303,45.42,2775,13801
1782559245.500,1,3,3,4,16,60,100,5,15303,49.64,2805,13801
1782559245.500,2,3,3,4,16,55,100,5,15303,46.11,2737,13801
1782559245.500,3,3,3,4,16,52,100,4,15303,45.66,2775,13801
1782559245.500,4,3,3,4,16,60,100,8,15303,45.39,2775,13801
1782559246.497,1,3,3,4,16,60,100,5,15303,49.55,2812,13801
1782559246.497,2,3,3,4,16,55,100,3,15303,45.68,2737,13801
1782559246.497,3,3,3,4,16,52,100,4,15303,45.76,2775,13801
1782559246.497,4,3,3,4,16,60,100,8,15303,45.93,2775,13801
1782559247.497,1,3,3,4,16,60,100,5,15303,50.05,2812,13801
1782559247.497,2,3,3,4,16,55,100,6,15303,46.03,2737,13801
1782559247.497,3,3,3,4,16,51,100,4,15303,45.72,2775,13801
1782559247.497,4,3,3,4,16,60,100,8,15303,45.57,2775,13801
1782559248.495,1,3,3,4,16,59,100,6,15303,49.56,2805,13801
1782559248.495,2,3,3,4,16,55,100,7,15303,45.46,2737,13801
1782559248.495,3,3,3,4,16,51,100,4,15303,45.57,2775,13801
1782559248.495,4,3,3,4,16,60,100,7,15303,45.94,2775,13801
1782559249.501,1,3,3,4,16,59,100,6,15303,49.04,2805,13801
1782559249.501,2,3,3,4,16,57,100,5,15303,45.36,2737,13801
1782559249.501,3,3,3,4,16,51,100,4,15303,45.51,2775,13801
1782559249.501,4,3,3,4,16,59,100,8,15303,45.38,2775,13801
1782559250.479,1,3,3,4,16,62,97,47,15303,74.62,2797,13801
1782559250.479,2,3,3,4,16,57,97,47,15303,45.36,2730,13801
1782559250.479,3,3,3,4,16,53,97,46,15303,65.74,2767,13801
1782559250.479,4,3,3,4,16,61,97,47,15303,58.00,2760,13801
1782559251.473,1,3,3,4,16,62,97,47,15303,79.03,2797,13801
1782559251.473,2,3,3,4,16,57,97,47,15303,72.67,2730,13801
1782559251.473,3,3,3,4,16,54,97,46,15303,73.85,2767,13801
1782559251.473,4,3,3,4,16,61,96,47,15303,74.38,2760,13801
1782559252.485,1,3,3,4,16,62,97,47,15303,79.06,2797,13801
1782559252.485,2,3,3,4,16,57,97,47,15303,73.04,2730,13801
1782559252.485,3,3,3,4,16,53,97,46,15303,73.64,2767,13801
1782559252.485,4,3,3,4,16,61,97,48,15303,74.45,2760,13801
1782559253.479,1,3,3,4,16,62,97,47,15303,79.11,2797,13801
1782559253.479,2,3,3,4,16,57,97,47,15303,73.01,2730,13801
1782559253.479,3,3,3,4,16,53,97,46,15303,73.80,2767,13801
1782559253.479,4,3,3,4,16,61,97,47,15303,74.56,2760,13801
1782559254.477,1,3,3,4,16,62,97,47,15303,79.20,2797,13801
1782559254.477,2,3,3,4,16,57,97,46,15303,72.92,2730,13801
1782559254.477,3,3,3,4,16,54,97,46,15303,73.86,2767,13801
1782559254.477,4,3,3,4,16,62,97,47,15303,74.65,2760,13801
1782559255.472,1,3,3,4,16,62,97,46,15303,79.21,2797,13801
1782559255.472,2,3,3,4,16,57,97,47,15303,73.14,2730,13801
1782559255.472,3,3,3,4,16,54,97,45,15303,73.75,2767,13801
1782559255.472,4,3,3,4,16,62,97,47,15303,74.59,2760,13801
1782559256.474,1,3,3,4,16,62,95,46,15303,79.17,2797,13801
1782559256.474,2,3,3,4,16,58,97,47,15303,73.11,2730,13801
1782559256.474,3,3,3,4,16,54,97,46,15303,73.76,2767,13801
1782559256.474,4,3,3,4,16,62,97,47,15303,74.66,2760,13801
1782559257.480,1,3,3,4,16,63,97,47,15303,79.15,2797,13801
1782559257.480,2,3,3,4,16,57,97,47,15303,72.99,2730,13801
1782559257.480,3,3,3,4,16,54,97,45,15303,73.57,2767,13801
1782559257.480,4,3,3,4,16,62,97,46,15303,74.50,2760,13801
1782559258.486,1,3,3,4,16,62,97,47,15303,79.28,2797,13801
1782559258.486,2,3,3,4,16,57,97,47,15303,73.18,2730,13801
1782559258.486,3,3,3,4,16,54,97,46,15303,73.85,2767,13801
1782559258.486,4,3,3,4,16,62,97,47,15303,74.56,2760,13801
1782559259.481,1,3,3,4,16,62,97,47,15303,79.53,2797,13801
1782559259.481,2,3,3,4,16,57,98,47,15303,73.32,2730,13801
1782559259.481,3,3,3,4,16,54,97,46,15303,73.92,2767,13801
1782559259.481,4,3,3,4,16,62,97,47,15303,74.84,2760,13801
1782559260.476,1,3,3,4,16,62,97,47,15303,79.54,2797,13801
1782559260.476,2,3,3,4,16,57,97,46,15303,73.15,2730,13801
1782559260.476,3,3,3,4,16,54,97,46,15303,73.96,2767,13801
1782559260.476,4,3,3,4,16,62,97,48,15303,74.71,2760,13801
1782559261.483,1,3,3,4,16,63,97,47,15303,79.54,2797,13801
1782559261.483,2,3,3,4,16,58,97,47,15303,73.28,2730,13801
1782559261.483,3,3,3,4,16,54,97,46,15303,74.18,2767,13801
1782559261.483,4,3,3,4,16,62,97,47,15303,74.72,2760,13801
1782559262.481,1,3,3,4,16,63,97,47,15303,79.44,2797,13801
1782559262.481,2,3,3,4,16,58,97,46,15303,73.26,2730,13801
1782559262.481,3,3,3,4,16,54,97,46,15303,74.06,2767,13801
1782559262.481,4,3,3,4,16,62,97,47,15303,74.81,2760,13801
1782559263.476,1,3,3,4,16,63,97,47,15303,79.53,2797,13801
1782559263.476,2,3,3,4,16,58,97,47,15303,73.26,2730,13801
1782559263.476,3,3,3,4,16,54,97,46,15303,73.99,2767,13801
1782559263.476,4,3,3,4,16,62,97,47,15303,74.68,2760,13801
