wall_epoch,index,pcie.link.gen.current,pcie.link.gen.max,pcie.link.width.current,pcie.link.width.max,temperature.gpu,utilization.gpu,utilization.memory,memory.used,power.draw,clocks.current.sm,clocks.current.memory
1782566472.788,1,3,3,4,16,60,19,11,15045,82.78,2805,13801
1782566472.788,2,3,3,4,16,54,0,0,15051,72.41,2737,13801
1782566472.788,3,3,3,4,16,41,95,52,15051,75.48,2790,13801
1782566472.788,4,3,3,4,16,64,0,0,15031,77.30,2767,13801
1782566473.790,1,3,3,4,16,58,0,0,15045,31.42,2812,13801
1782566473.790,2,3,3,4,16,52,0,0,15051,34.66,2737,13801
1782566473.790,3,3,3,4,16,37,0,0,15051,29.00,2797,13801
1782566473.790,4,3,3,4,16,61,0,0,15031,37.84,2767,13801
1782566474.789,1,3,3,4,16,58,0,0,15045,28.72,2790,13801
1782566474.789,2,3,3,4,16,52,0,0,15051,25.40,2737,13801
1782566474.789,3,3,3,4,16,37,0,0,15051,23.89,2797,13801
1782566474.789,4,3,3,4,16,60,0,0,15031,27.48,2767,13801
1782566475.789,1,3,3,4,16,57,0,0,15045,25.69,2595,13801
1782566475.789,2,3,3,4,16,51,0,0,15051,24.58,2595,13801
1782566475.789,3,3,3,4,16,36,0,0,15051,19.75,2565,13801
1782566475.789,4,3,3,4,16,60,0,0,15031,25.86,2595,13801
1782566476.788,1,3,3,4,16,56,0,0,15045,22.61,2595,13801
1782566476.788,2,3,3,4,16,51,0,0,15051,23.75,2595,13801
1782566476.788,3,3,3,4,16,36,0,0,15051,19.68,2565,13801
1782566476.788,4,3,3,4,16,60,0,0,15031,24.04,2595,13801
1782566477.790,1,3,3,4,16,56,0,0,15045,22.57,2595,13801
1782566477.790,2,3,3,4,16,51,0,0,15051,23.73,2595,13801
1782566477.790,3,3,3,4,16,36,0,0,15051,19.53,2565,13801
1782566477.790,4,3,3,4,16,59,0,0,15031,24.06,2595,13801
1782566478.789,1,3,3,4,16,56,0,0,15045,22.35,2595,13801
1782566478.789,2,3,3,4,16,51,0,0,15051,23.70,2595,13801
1782566478.789,3,3,3,4,16,36,0,0,15051,19.55,2565,13801
1782566478.789,4,3,3,4,16,59,0,0,15031,23.88,2595,13801
1782566479.789,1,3,3,4,16,56,0,0,15045,22.17,2595,13801
1782566479.789,2,3,3,4,16,50,0,0,15051,23.69,2595,13801
1782566479.789,3,3,3,4,16,36,0,0,15051,19.56,2565,13801
1782566479.789,4,3,3,4,16,59,0,0,15031,23.55,2595,13801
1782566480.848,1,3,3,4,16,58,100,4,15045,33.00,2812,13801
1782566480.848,2,3,3,4,16,52,100,4,15051,32.19,2737,13801
1782566480.848,3,3,3,4,16,37,100,3,15051,26.10,2797,13801
1782566480.848,4,3,3,4,16,61,100,3,15031,32.15,2760,13801
1782566481.846,1,3,3,4,16,58,100,4,15045,47.97,2812,13801
1782566481.846,2,3,3,4,16,53,100,3,15051,43.00,2737,13801
1782566481.846,3,3,3,4,16,38,100,3,15051,40.42,2797,13801
1782566481.846,4,3,3,4,16,62,100,4,15031,45.06,2760,13801
1782566482.844,1,3,3,4,16,60,100,4,15045,48.02,2812,13801
1782566482.844,2,3,3,4,16,53,100,3,15051,42.96,2737,13801
1782566482.844,3,3,3,4,16,38,100,4,15051,40.19,2797,13801
1782566482.844,4,3,3,4,16,62,100,4,15031,45.36,2760,13801
1782566483.842,1,3,3,4,16,59,100,4,15045,47.72,2812,13801
1782566483.842,2,3,3,4,16,52,100,4,15051,43.07,2737,13801
1782566483.842,3,3,3,4,16,38,100,4,15051,40.30,2797,13801
1782566483.842,4,3,3,4,16,61,100,4,15031,44.94,2760,13801
1782566484.847,1,3,3,4,16,58,100,4,15045,47.69,2812,13801
1782566484.847,2,3,3,4,16,52,100,4,15051,43.13,2737,13801
1782566484.847,3,3,3,4,16,39,100,3,15051,40.24,2797,13801
1782566484.847,4,3,3,4,16,61,100,4,15031,45.00,2760,13801
1782566485.826,1,3,3,4,16,61,96,53,15045,64.47,2797,13801
1782566485.826,2,3,3,4,16,55,97,52,15051,58.57,2730,13801
1782566485.826,3,3,3,4,16,40,97,51,15051,50.03,2790,13801
1782566485.826,4,3,3,4,16,64,95,53,15031,62.77,2760,13801
1782566486.828,1,3,3,4,16,61,95,54,15045,85.22,2797,13801
1782566486.828,2,3,3,4,16,55,97,53,15051,77.27,2730,13801
1782566486.828,3,3,3,4,16,41,97,51,15051,74.65,2790,13801
1782566486.828,4,3,3,4,16,64,96,54,15031,81.81,2760,13801
1782566487.827,1,3,3,4,16,62,96,54,15045,85.34,2797,13801
1782566487.827,2,3,3,4,16,55,97,53,15051,77.51,2730,13801
1782566487.827,3,3,3,4,16,41,97,51,15051,74.84,2790,13801
1782566487.827,4,3,3,4,16,64,95,54,15031,82.12,2760,13801
1782566488.825,1,3,3,4,16,62,96,53,15045,85.44,2797,13801
1782566488.825,2,3,3,4,16,55,97,53,15051,77.62,2730,13801
1782566488.825,3,3,3,4,16,41,97,51,15051,75.09,2790,13801
1782566488.825,4,3,3,4,16,64,95,53,15031,82.12,2760,13801
1782566489.828,1,3,3,4,16,62,96,53,15045,85.49,2797,13801
1782566489.828,2,3,3,4,16,55,97,52,15051,77.75,2730,13801
1782566489.828,3,3,3,4,16,41,97,51,15051,75.11,2790,13801
1782566489.828,4,3,3,4,16,64,95,54,15031,82.38,2760,13801
1782566490.825,1,3,3,4,16,62,96,53,15045,85.56,2797,13801
1782566490.825,2,3,3,4,16,55,96,53,15051,77.83,2730,13801
1782566490.825,3,3,3,4,16,41,97,51,15051,75.14,2790,13801
1782566490.825,4,3,3,4,16,64,95,54,15031,82.35,2760,13801
1782566491.833,1,3,3,4,16,62,96,53,15045,85.68,2797,13801
1782566491.833,2,3,3,4,16,55,97,53,15051,77.78,2730,13801
1782566491.833,3,3,3,4,16,41,97,51,15051,75.25,2790,13801
1782566491.833,4,3,3,4,16,64,95,54,15031,82.17,2760,13801
1782566492.831,1,3,3,4,16,63,96,53,15045,85.60,2797,13801
1782566492.831,2,3,3,4,16,55,97,53,15051,77.74,2730,13801
1782566492.831,3,3,3,4,16,42,97,51,15051,75.30,2790,13801
1782566492.831,4,3,3,4,16,64,95,53,15031,82.36,2760,13801
1782566493.826,1,3,3,4,16,62,96,52,15045,85.58,2797,13801
1782566493.826,2,3,3,4,16,55,97,52,15051,77.74,2730,13801
1782566493.826,3,3,3,4,16,42,97,51,15051,75.32,2790,13801
1782566493.826,4,3,3,4,16,64,95,53,15031,82.34,2760,13801
1782566494.825,1,3,3,4,16,62,96,53,15045,85.53,2797,13801
1782566494.825,2,3,3,4,16,56,97,52,15051,77.81,2730,13801
1782566494.825,3,3,3,4,16,42,97,51,15051,75.37,2790,13801
1782566494.825,4,3,3,4,16,64,95,54,15031,82.35,2760,13801
1782566495.832,1,3,3,4,16,62,95,54,15045,85.68,2797,13801
1782566495.832,2,3,3,4,16,56,97,52,15051,77.94,2730,13801
1782566495.832,3,3,3,4,16,42,97,51,15051,75.40,2790,13801
1782566495.832,4,3,3,4,16,65,95,54,15031,82.14,2760,13801
1782566496.831,1,3,3,4,16,62,96,53,15045,85.68,2797,13801
1782566496.831,2,3,3,4,16,56,97,52,15051,77.85,2730,13801
1782566496.831,3,3,3,4,16,42,97,51,15051,75.48,2790,13801
1782566496.831,4,3,3,4,16,65,96,54,15031,82.34,2760,13801
1782566497.823,1,3,3,4,16,62,97,54,15045,85.66,2797,13801
1782566497.823,2,3,3,4,16,56,97,52,15051,77.93,2730,13801
1782566497.823,3,3,3,4,16,43,96,51,15051,75.43,2790,13801
1782566497.823,4,3,3,4,16,65,96,53,15031,82.36,2760,13801
1782566498.829,1,3,3,4,16,62,97,53,15045,85.57,2797,13801
1782566498.829,2,3,3,4,16,56,96,52,15051,77.95,2730,13801
1782566498.829,3,3,3,4,16,43,96,51,15051,75.54,2775,13801
1782566498.829,4,3,3,4,16,65,97,53,15031,82.31,2760,13801
1782566499.828,1,3,3,4,16,62,97,53,15045,85.81,2797,13801
1782566499.828,2,3,3,4,16,56,96,52,15051,78.02,2730,13801
1782566499.828,3,3,3,4,16,43,96,52,15051,75.55,2775,13801
1782566499.828,4,3,3,4,16,65,97,54,15031,82.32,2760,13801
1782566500.825,1,3,3,4,16,62,97,53,15045,85.80,2797,13801
1782566500.825,2,3,3,4,16,56,95,53,15051,78.02,2730,13801
1782566500.825,3,3,3,4,16,43,95,52,15051,75.65,2775,13801
1782566500.825,4,3,3,4,16,65,97,53,15031,82.42,2760,13801
1782566501.825,1,3,3,4,16,62,97,53,15045,85.93,2797,13801
1782566501.825,2,3,3,4,16,56,95,53,15051,78.10,2730,13801
1782566501.825,3,3,3,4,16,43,95,52,15051,75.69,2775,13801
1782566501.825,4,3,3,4,16,65,97,53,15031,82.32,2760,13801
1782566502.826,1,3,3,4,16,62,97,53,15045,85.97,2797,13801
1782566502.826,2,3,3,4,16,56,95,53,15051,77.95,2730,13801
1782566502.826,3,3,3,4,16,43,95,52,15051,75.67,2775,13801
1782566502.826,4,3,3,4,16,65,97,53,15031,82.36,2760,13801
1782566503.828,1,3,3,4,16,62,97,53,15045,85.97,2797,13801
1782566503.828,2,3,3,4,16,56,96,54,15051,77.96,2730,13801
1782566503.828,3,3,3,4,16,43,96,53,15051,75.74,2775,13801
1782566503.828,4,3,3,4,16,65,97,53,15031,82.45,2760,13801
1782566504.831,1,3,3,4,16,62,97,53,15045,86.05,2797,13801
1782566504.831,2,3,3,4,16,56,96,53,15051,78.05,2730,13801
1782566504.831,3,3,3,4,16,43,96,52,15051,75.82,2775,13801
1782566504.831,4,3,3,4,16,65,97,53,15031,82.49,2760,13801
1782566505.827,1,3,3,4,16,62,97,53,15045,85.98,2797,13801
1782566505.827,2,3,3,4,16,56,97,53,15051,78.19,2730,13801
1782566505.827,3,3,3,4,16,43,97,51,15051,75.74,2775,13801
1782566505.827,4,3,3,4,16,65,97,53,15031,82.52,2760,13801
1782566506.828,1,3,3,4,16,63,96,53,15045,85.92,2797,13801
1782566506.828,2,3,3,4,16,56,96,53,15051,77.93,2730,13801
1782566506.828,3,3,3,4,16,43,97,51,15051,75.69,2775,13801
1782566506.828,4,3,3,4,16,65,97,53,15031,82.30,2760,13801
1782566507.826,1,3,3,4,16,63,97,53,15045,85.97,2797,13801
