wall_epoch,index,pcie.link.gen.current,pcie.link.gen.max,pcie.link.width.current,pcie.link.width.max,temperature.gpu,utilization.gpu,utilization.memory,memory.used,power.draw,clocks.current.sm,clocks.current.memory
1782540003.077,1,3,3,4,16,63,97,52,15607,85.75,2805,13801
1782540003.077,2,3,3,4,16,56,96,52,15611,78.00,2730,13801
1782540003.077,3,3,3,4,16,53,97,51,15611,79.35,2767,13801
1782540003.077,4,3,3,4,16,63,97,53,15591,81.04,2767,13801
1782540004.076,1,3,3,4,16,58,0,0,15607,47.40,2812,13801
1782540004.076,2,3,3,4,16,52,0,0,15611,37.55,2737,13801
1782540004.076,3,3,3,4,16,48,0,0,15611,36.53,2782,13801
1782540004.076,4,3,3,4,16,58,0,0,15591,40.35,2782,13801
1782540005.073,1,3,3,4,16,58,0,0,15607,32.24,2745,13801
1782540005.073,2,3,3,4,16,52,0,0,15611,28.22,2737,13801
1782540005.073,3,3,3,4,16,48,0,0,15611,26.93,2782,13801
1782540005.073,4,3,3,4,16,58,0,0,15591,34.26,2760,13801
1782540006.074,1,3,3,4,16,57,0,0,15607,27.72,2595,13801
1782540006.074,2,3,3,4,16,52,0,0,15611,24.96,2595,13801
1782540006.074,3,3,3,4,16,48,0,0,15611,25.25,2565,13801
1782540006.074,4,3,3,4,16,57,0,0,15591,26.75,2595,13801
1782540007.074,1,3,3,4,16,57,0,0,15607,22.13,2595,13801
1782540007.074,2,3,3,4,16,51,0,0,15611,24.35,2595,13801
1782540007.074,3,3,3,4,16,47,0,0,15611,23.99,2565,13801
1782540007.074,4,3,3,4,16,57,0,0,15591,21.96,2595,13801
1782540008.076,1,3,3,4,16,56,0,0,15607,22.10,2595,13801
1782540008.076,2,3,3,4,16,51,0,0,15611,23.69,2595,13801
1782540008.076,3,3,3,4,16,47,0,0,15611,22.68,2565,13801
1782540008.076,4,3,3,4,16,57,0,0,15591,21.88,2595,13801
1782540009.076,1,3,3,4,16,56,0,0,15607,21.93,2595,13801
1782540009.076,2,3,3,4,16,51,0,0,15611,23.70,2595,13801
1782540009.076,3,3,3,4,16,47,0,0,15611,22.60,2565,13801
1782540009.076,4,3,3,4,16,56,0,0,15591,21.70,2595,13801
1782540010.076,1,3,3,4,16,56,0,0,15607,21.84,2595,13801
1782540010.076,2,3,3,4,16,51,0,0,15611,23.69,2595,13801
1782540010.076,3,3,3,4,16,47,0,0,15611,22.40,2565,13801
1782540010.076,4,3,3,4,16,56,0,0,15591,21.59,2595,13801
1782540011.076,1,3,3,4,16,56,0,0,15607,21.74,2595,13801
1782540011.076,2,3,3,4,16,51,0,0,15611,23.67,2595,13801
1782540011.076,3,3,3,4,16,47,0,0,15611,22.47,2565,13801
1782540011.076,4,3,3,4,16,56,0,0,15591,21.59,2595,13801
1782540012.132,1,3,3,4,16,58,100,4,15607,22.90,2812,13801
1782540012.132,2,3,3,4,16,53,100,4,15611,25.71,2737,13801
1782540012.132,3,3,3,4,16,48,100,4,15611,25.07,2782,13801
1782540012.132,4,3,3,4,16,57,100,4,15591,22.95,2775,13801
1782540013.134,1,3,3,4,16,58,100,4,15607,46.72,2812,13801
1782540013.134,2,3,3,4,16,53,100,4,15611,42.75,2737,13801
1782540013.134,3,3,3,4,16,49,100,4,15611,43.42,2782,13801
1782540013.134,4,3,3,4,16,58,100,4,15591,43.85,2775,13801
1782540014.130,1,3,3,4,16,59,100,4,15607,47.72,2812,13801
1782540014.130,2,3,3,4,16,53,100,4,15611,43.34,2737,13801
1782540014.130,3,3,3,4,16,49,100,4,15611,44.37,2782,13801
1782540014.130,4,3,3,4,16,59,100,4,15591,44.58,2775,13801
1782540015.129,1,3,3,4,16,58,100,4,15607,48.26,2812,13801
1782540015.129,2,3,3,4,16,53,100,4,15611,43.74,2737,13801
1782540015.129,3,3,3,4,16,50,100,3,15611,44.63,2782,13801
1782540015.129,4,3,3,4,16,58,100,4,15591,44.82,2775,13801
1782540016.134,1,3,3,4,16,59,100,3,15607,48.04,2812,13801
1782540016.134,2,3,3,4,16,53,100,3,15611,43.81,2737,13801
1782540016.134,3,3,3,4,16,49,100,3,15611,44.38,2782,13801
1782540016.134,4,3,3,4,16,58,100,4,15591,44.85,2775,13801
1782540017.131,1,3,3,4,16,59,100,3,15607,47.37,2812,13801
1782540017.131,2,3,3,4,16,54,100,4,15611,43.13,2737,13801
1782540017.131,3,3,3,4,16,49,100,3,15611,43.92,2782,13801
1782540017.131,4,3,3,4,16,58,100,4,15591,44.22,2775,13801
1782540018.129,1,3,3,4,16,58,100,4,15607,47.76,2812,13801
1782540018.129,2,3,3,4,16,53,100,4,15611,43.36,2737,13801
1782540018.129,3,3,3,4,16,49,100,3,15611,44.25,2782,13801
1782540018.129,4,3,3,4,16,59,100,4,15591,44.18,2775,13801
1782540019.112,1,3,3,4,16,58,100,3,15607,47.69,2805,13801
1782540019.112,2,3,3,4,16,52,100,5,15611,43.56,2730,13801
1782540019.112,3,3,3,4,16,49,100,8,15611,44.10,2782,13801
1782540019.112,4,3,3,4,16,58,100,4,15591,44.46,2775,13801
1782540020.117,1,3,3,4,16,60,96,35,15607,65.68,2797,13801
1782540020.117,2,3,3,4,16,54,98,35,15611,62.06,2730,13801
1782540020.117,3,3,3,4,16,51,97,34,15611,63.97,2767,13801
1782540020.117,4,3,3,4,16,60,97,36,15591,62.28,2760,13801
1782540021.121,1,3,3,4,16,60,97,36,15607,70.90,2797,13801
1782540021.121,2,3,3,4,16,54,98,35,15611,64.68,2730,13801
1782540021.121,3,3,3,4,16,51,97,35,15611,65.99,2767,13801
1782540021.121,4,3,3,4,16,60,98,35,15591,67.07,2760,13801
1782540022.115,1,3,3,4,16,61,98,35,15607,70.84,2797,13801
1782540022.115,2,3,3,4,16,54,97,35,15611,64.70,2730,13801
1782540022.115,3,3,3,4,16,51,98,34,15611,65.86,2767,13801
1782540022.115,4,3,3,4,16,60,98,35,15591,67.12,2760,13801
1782540023.119,1,3,3,4,16,60,98,35,15607,70.80,2797,13801
1782540023.119,2,3,3,4,16,54,97,36,15611,64.74,2730,13801
1782540023.119,3,3,3,4,16,51,98,34,15611,65.88,2767,13801
1782540023.119,4,3,3,4,16,60,98,35,15591,67.35,2760,13801
1782540024.116,1,3,3,4,16,60,98,36,15607,70.95,2797,13801
1782540024.116,2,3,3,4,16,54,98,34,15611,64.67,2730,13801
1782540024.116,3,3,3,4,16,51,98,35,15611,65.80,2767,13801
1782540024.116,4,3,3,4,16,60,98,35,15591,67.18,2760,13801
1782540025.115,1,3,3,4,16,61,98,35,15607,70.94,2797,13801
1782540025.115,2,3,3,4,16,55,98,35,15611,64.72,2730,13801
1782540025.115,3,3,3,4,16,51,98,34,15611,65.79,2767,13801
1782540025.115,4,3,3,4,16,60,97,36,15591,67.33,2760,13801
1782540026.121,1,3,3,4,16,61,97,35,15607,71.01,2797,13801
1782540026.121,2,3,3,4,16,55,98,35,15611,64.74,2730,13801
1782540026.121,3,3,3,4,16,51,98,35,15611,65.75,2767,13801
1782540026.121,4,3,3,4,16,61,97,36,15591,67.26,2760,13801
1782540027.119,1,3,3,4,16,61,97,35,15607,71.02,2797,13801
1782540027.119,2,3,3,4,16,55,98,34,15611,64.75,2730,13801
1782540027.119,3,3,3,4,16,51,97,34,15611,65.90,2767,13801
1782540027.119,4,3,3,4,16,60,97,35,15591,67.29,2760,13801
1782540028.120,1,3,3,4,16,61,97,35,15607,71.14,2797,13801
1782540028.120,2,3,3,4,16,55,98,36,15611,64.71,2730,13801
1782540028.120,3,3,3,4,16,51,97,35,15611,65.83,2767,13801
1782540028.120,4,3,3,4,16,61,98,35,15591,67.30,2760,13801
1782540029.115,1,3,3,4,16,61,98,35,15607,71.16,2797,13801
1782540029.115,2,3,3,4,16,55,97,35,15611,64.82,2730,13801
1782540029.115,3,3,3,4,16,51,98,34,15611,65.96,2767,13801
1782540029.115,4,3,3,4,16,61,98,35,15591,67.40,2760,13801
1782540030.122,1,3,3,4,16,61,98,35,15607,71.13,2797,13801
1782540030.122,2,3,3,4,16,55,97,36,15611,64.81,2730,13801
1782540030.122,3,3,3,4,16,51,98,34,15611,66.05,2767,13801
1782540030.122,4,3,3,4,16,61,98,35,15591,67.43,2760,13801
1782540031.117,1,3,3,4,16,61,98,36,15607,71.26,2797,13801
1782540031.117,2,3,3,4,16,55,97,34,15611,64.81,2730,13801
1782540031.117,3,3,3,4,16,51,98,34,15611,66.11,2767,13801
1782540031.117,4,3,3,4,16,61,98,36,15591,67.28,2760,13801
1782540032.119,1,3,3,4,16,61,98,35,15607,71.32,2797,13801
1782540032.119,2,3,3,4,16,55,98,35,15611,64.95,2730,13801
1782540032.119,3,3,3,4,16,51,98,33,15611,66.25,2767,13801
1782540032.119,4,3,3,4,16,61,97,36,15591,67.39,2760,13801
1782540033.118,1,3,3,4,16,61,98,36,15607,71.42,2797,13801
1782540033.118,2,3,3,4,16,55,98,35,15611,65.02,2730,13801
1782540033.118,3,3,3,4,16,52,98,34,15611,66.19,2767,13801
1782540033.118,4,3,3,4,16,61,97,35,15591,67.44,2760,13801
1782540034.119,1,3,3,4,16,61,97,36,15607,71.39,2797,13801
1782540034.119,2,3,3,4,16,55,98,36,15611,65.07,2730,13801
1782540034.119,3,3,3,4,16,52,97,35,15611,66.27,2767,13801
