wall_epoch,index,pcie.link.gen.current,pcie.link.gen.max,pcie.link.width.current,pcie.link.width.max,temperature.gpu,utilization.gpu,utilization.memory,memory.used,power.draw,clocks.current.sm,clocks.current.memory
1782546851.862,1,3,3,4,16,64,42,21,15037,79.05,2797,13801
1782546851.862,2,3,3,4,16,59,96,47,15039,75.18,2737,13801
1782546851.862,3,3,3,4,16,55,97,46,15039,76.36,2775,13801
1782546851.862,4,3,3,4,16,63,24,12,15039,74.60,2760,13801
1782546852.863,1,3,3,4,16,59,0,0,15037,36.70,2812,13801
1782546852.863,2,3,3,4,16,54,0,0,15039,34.40,2737,13801
1782546852.863,3,3,3,4,16,51,0,0,15039,47.76,2775,13801
1782546852.863,4,3,3,4,16,60,0,0,15039,29.64,2767,13801
1782546853.861,1,3,3,4,16,58,0,0,15037,27.55,2790,13801
1782546853.861,2,3,3,4,16,54,0,0,15039,26.50,2640,13801
1782546853.861,3,3,3,4,16,51,0,0,15039,34.20,2745,13801
1782546853.861,4,3,3,4,16,59,0,0,15039,27.15,2782,13801
1782546854.860,1,3,3,4,16,58,0,0,15037,24.77,2595,13801
1782546854.860,2,3,3,4,16,53,0,0,15039,25.22,2595,13801
1782546854.860,3,3,3,4,16,50,0,0,15039,25.82,2565,13801
1782546854.860,4,3,3,4,16,58,0,0,15039,24.93,2595,13801
1782546855.862,1,3,3,4,16,57,0,0,15037,21.63,2595,13801
1782546855.862,2,3,3,4,16,53,0,0,15039,23.89,2595,13801
1782546855.862,3,3,3,4,16,50,0,0,15039,24.72,2565,13801
1782546855.862,4,3,3,4,16,58,0,0,15039,22.57,2595,13801
1782546856.860,1,3,3,4,16,57,0,0,15037,21.79,2595,13801
1782546856.860,2,3,3,4,16,53,0,0,15039,23.86,2595,13801
1782546856.860,3,3,3,4,16,50,0,0,15039,23.43,2565,13801
1782546856.860,4,3,3,4,16,58,0,0,15039,22.51,2595,13801
1782546857.862,1,3,3,4,16,57,0,0,15037,21.74,2595,13801
1782546857.862,2,3,3,4,16,53,0,0,15039,23.85,2595,13801
1782546857.862,3,3,3,4,16,50,0,0,15039,23.40,2565,13801
1782546857.862,4,3,3,4,16,58,0,0,15039,22.36,2595,13801
1782546858.863,1,3,3,4,16,57,0,0,15037,21.67,2595,13801
1782546858.863,2,3,3,4,16,53,0,0,15039,23.83,2595,13801
1782546858.863,3,3,3,4,16,50,0,0,15039,23.32,2565,13801
1782546858.863,4,3,3,4,16,57,0,0,15039,22.31,2595,13801
1782546859.920,1,3,3,4,16,59,100,1,15037,31.71,2812,13801
1782546859.920,2,3,3,4,16,54,100,2,15039,27.19,2737,13801
1782546859.920,3,3,3,4,16,51,100,2,15039,32.22,2775,13801
1782546859.920,4,3,3,4,16,59,100,2,15039,30.97,2767,13801
1782546860.919,1,3,3,4,16,59,100,2,15037,43.86,2812,13801
1782546860.919,2,3,3,4,16,54,100,1,15039,39.66,2737,13801
1782546860.919,3,3,3,4,16,52,100,1,15039,40.86,2775,13801
1782546860.919,4,3,3,4,16,59,100,1,15039,41.09,2782,13801
1782546861.917,1,3,3,4,16,59,100,1,15037,43.65,2812,13801
1782546861.917,2,3,3,4,16,58,100,3,15039,40.04,2737,13801
1782546861.917,3,3,3,4,16,51,100,2,15039,41.18,2775,13801
1782546861.917,4,3,3,4,16,60,100,3,15039,41.27,2782,13801
1782546862.919,1,3,3,4,16,59,100,2,15037,43.88,2812,13801
1782546862.919,2,3,3,4,16,54,100,3,15039,40.01,2737,13801
1782546862.919,3,3,3,4,16,52,100,1,15039,41.01,2775,13801
