wall_epoch,index,pcie.link.gen.current,pcie.link.gen.max,pcie.link.width.current,pcie.link.width.max,temperature.gpu,utilization.gpu,utilization.memory,memory.used,power.draw,clocks.current.sm,clocks.current.memory
1782553322.959,1,3,3,4,16,64,97,54,15041,88.07,2805,13801
1782553322.959,2,3,3,4,16,55,0,0,15043,72.20,2737,13801
1782553322.959,3,3,3,4,16,40,78,43,15043,76.23,2775,13801
1782553322.959,4,3,3,4,16,67,96,54,15043,84.60,2760,13801
1782553323.959,1,3,3,4,16,59,0,0,15041,47.39,2812,13801
1782553323.959,2,3,3,4,16,53,0,0,15043,30.04,2737,13801
1782553323.959,3,3,3,4,16,38,0,0,15043,29.30,2797,13801
1782553323.959,4,3,3,4,16,62,0,0,15043,39.88,2767,13801
1782553324.959,1,3,3,4,16,59,0,0,15041,31.70,2745,13801
1782553324.959,2,3,3,4,16,53,0,0,15043,26.47,2737,13801
1782553324.959,3,3,3,4,16,37,0,0,15043,23.70,2767,13801
1782553324.959,4,3,3,4,16,62,0,0,15043,34.27,2767,13801
1782553325.957,1,3,3,4,16,58,0,0,15041,28.88,2595,13801
1782553325.957,2,3,3,4,16,52,0,0,15043,23.89,2595,13801
1782553325.957,3,3,3,4,16,37,0,0,15043,21.81,2565,13801
1782553325.957,4,3,3,4,16,61,0,0,15043,27.64,2595,13801
1782553326.959,1,3,3,4,16,58,0,0,15041,22.88,2595,13801
1782553326.959,2,3,3,4,16,52,0,0,15043,23.88,2595,13801
1782553326.959,3,3,3,4,16,37,0,0,15043,19.92,2565,13801
1782553326.959,4,3,3,4,16,61,0,0,15043,24.23,2595,13801
1782553327.959,1,3,3,4,16,57,0,0,15041,22.73,2595,13801
1782553327.959,2,3,3,4,16,52,0,0,15043,23.86,2595,13801
1782553327.959,3,3,3,4,16,37,0,0,15043,19.87,2565,13801
1782553327.959,4,3,3,4,16,60,0,0,15043,24.18,2595,13801
1782553328.959,1,3,3,4,16,57,0,0,15041,22.40,2595,13801
1782553328.959,2,3,3,4,16,52,0,0,15043,23.83,2595,13801
1782553328.959,3,3,3,4,16,37,0,0,15043,19.79,2565,13801
1782553328.959,4,3,3,4,16,60,0,0,15043,24.04,2595,13801
1782553329.959,1,3,3,4,16,57,0,0,15041,22.35,2595,13801
1782553329.959,2,3,3,4,16,52,0,0,15043,23.81,2595,13801
1782553329.959,3,3,3,4,16,36,0,0,15043,19.80,2565,13801
1782553329.959,4,3,3,4,16,60,0,0,15043,23.76,2595,13801
1782553331.016,1,3,3,4,16,58,100,4,15041,25.31,2812,13801
1782553331.016,2,3,3,4,16,54,100,4,15043,33.97,2737,13801
1782553331.016,3,3,3,4,16,39,100,4,15043,28.72,2797,13801
1782553331.016,4,3,3,4,16,61,100,4,15043,26.44,2760,13801
1782553332.015,1,3,3,4,16,59,100,4,15041,48.60,2812,13801
1782553332.015,2,3,3,4,16,54,100,4,15043,44.14,2737,13801
1782553332.015,3,3,3,4,16,41,100,3,15043,41.24,2797,13801
1782553332.015,4,3,3,4,16,63,100,5,15043,45.56,2760,13801
1782553333.015,1,3,3,4,16,63,100,4,15041,48.86,2812,13801
1782553333.015,2,3,3,4,16,53,100,4,15043,44.67,2737,13801
1782553333.015,3,3,3,4,16,39,100,4,15043,41.56,2797,13801
1782553333.015,4,3,3,4,16,62,100,4,15043,46.10,2760,13801
1782553334.012,1,3,3,4,16,59,100,4,15041,48.66,2812,13801
1782553334.012,2,3,3,4,16,55,100,4,15043,44.09,2737,13801
1782553334.012,3,3,3,4,16,42,100,3,15043,41.24,2797,13801
1782553334.012,4,3,3,4,16,62,100,4,15043,45.80,2760,13801
1782553334.998,1,3,3,4,16,63,100,4,15041,49.02,2812,13801
1782553334.998,2,3,3,4,16,54,100,6,15043,44.63,2737,13801
1782553334.998,3,3,3,4,16,38,100,4,15043,41.47,2797,13801
1782553334.998,4,3,3,4,16,62,100,4,15043,45.98,2760,13801
1782553335.999,1,3,3,4,16,62,96,54,15041,68.76,2797,13801
1782553335.999,2,3,3,4,16,56,94,48,15043,74.01,2730,13801
1782553335.999,3,3,3,4,16,41,96,52,15043,67.34,2790,13801
1782553335.999,4,3,3,4,16,65,96,54,15043,68.14,2760,13801
1782553336.999,1,3,3,4,16,62,97,54,15041,85.68,2797,13801
1782553336.999,2,3,3,4,16,56,97,54,15043,78.90,2730,13801
1782553336.999,3,3,3,4,16,41,95,52,15043,75.71,2790,13801
1782553336.999,4,3,3,4,16,65,95,55,15043,82.39,2760,13801
1782553338.001,1,3,3,4,16,63,97,53,15041,86.52,2797,13801
1782553338.001,2,3,3,4,16,56,96,54,15043,79.07,2730,13801
1782553338.001,3,3,3,4,16,42,95,52,15043,76.23,2790,13801
1782553338.001,4,3,3,4,16,65,95,55,15043,83.13,2760,13801
1782553338.991,1,3,3,4,16,63,96,54,15041,86.62,2797,13801
1782553338.991,2,3,3,4,16,56,96,54,15043,79.25,2730,13801
1782553338.991,3,3,3,4,16,42,95,53,15043,76.53,2790,13801
1782553338.991,4,3,3,4,16,65,97,55,15043,83.14,2760,13801
1782553340.001,1,3,3,4,16,63,96,54,15041,86.89,2797,13801
1782553340.001,2,3,3,4,16,56,96,54,15043,79.35,2730,13801
1782553340.001,3,3,3,4,16,42,95,53,15043,76.54,2790,13801
1782553340.001,4,3,3,4,16,65,96,55,15043,83.46,2760,13801
1782553341.001,1,3,3,4,16,63,96,55,15041,86.90,2797,13801
1782553341.001,2,3,3,4,16,56,96,54,15043,79.46,2730,13801
1782553341.001,3,3,3,4,16,42,95,53,15043,76.69,2775,13801
1782553341.001,4,3,3,4,16,65,96,55,15043,83.61,2760,13801
1782553342.001,1,3,3,4,16,63,96,54,15041,86.79,2797,13801
1782553342.001,2,3,3,4,16,57,95,53,15043,79.56,2730,13801
1782553342.001,3,3,3,4,16,42,97,53,15043,76.59,2775,13801
1782553342.001,4,3,3,4,16,65,97,54,15043,83.43,2760,13801
1782553342.996,1,3,3,4,16,63,95,55,15041,86.74,2797,13801
1782553342.996,2,3,3,4,16,57,95,54,15043,79.59,2730,13801
1782553342.996,3,3,3,4,16,42,97,52,15043,76.68,2775,13801
1782553342.996,4,3,3,4,16,65,96,54,15043,83.51,2760,13801
1782553343.999,1,3,3,4,16,63,95,53,15041,86.77,2797,13801
1782553343.999,2,3,3,4,16,57,95,55,15043,79.60,2730,13801
1782553343.999,3,3,3,4,16,42,97,52,15043,76.65,2775,13801
1782553343.999,4,3,3,4,16,65,97,54,15043,83.51,2760,13801
1782553345.001,1,3,3,4,16,63,96,54,15041,86.96,2797,13801
1782553345.001,2,3,3,4,16,57,95,55,15043,79.57,2730,13801
1782553345.001,3,3,3,4,16,43,96,52,15043,76.90,2775,13801
1782553345.001,4,3,3,4,16,66,97,55,15043,83.82,2760,13801
1782553346.003,1,3,3,4,16,63,97,54,15041,87.18,2797,13801
1782553346.003,2,3,3,4,16,57,95,55,15043,79.76,2730,13801
1782553346.003,3,3,3,4,16,43,97,52,15043,76.86,2775,13801
1782553346.003,4,3,3,4,16,66,97,55,15043,83.78,2760,13801
1782553346.998,1,3,3,4,16,63,97,54,15041,87.10,2797,13801
1782553346.998,2,3,3,4,16,57,96,55,15043,79.48,2730,13801
1782553346.998,3,3,3,4,16,43,97,52,15043,76.85,2775,13801
1782553346.998,4,3,3,4,16,66,96,54,15043,83.73,2760,13801
1782553347.993,1,3,3,4,16,63,97,54,15041,87.25,2797,13801
1782553347.993,2,3,3,4,16,57,97,55,15043,79.90,2730,13801
1782553347.993,3,3,3,4,16,43,97,52,15043,76.84,2775,13801
1782553347.993,4,3,3,4,16,66,96,55,15043,83.72,2760,13801
1782553348.999,1,3,3,4,16,63,97,54,15041,87.40,2797,13801
1782553348.999,2,3,3,4,16,57,97,55,15043,79.76,2730,13801
1782553348.999,3,3,3,4,16,43,94,51,15043,77.08,2775,13801
1782553348.999,4,3,3,4,16,66,95,55,15043,83.82,2760,13801
1782553349.997,1,3,3,4,16,63,97,53,15041,87.12,2797,13801
1782553349.997,2,3,3,4,16,57,97,54,15043,79.61,2730,13801
1782553349.997,3,3,3,4,16,43,95,52,15043,76.82,2775,13801
1782553349.997,4,3,3,4,16,66,95,55,15043,83.49,2760,13801
1782553350.999,1,3,3,4,16,64,95,55,15041,87.32,2797,13801
1782553350.999,2,3,3,4,16,57,96,53,15043,79.74,2730,13801
1782553350.999,3,3,3,4,16,43,96,53,15043,76.78,2775,13801
1782553350.999,4,3,3,4,16,66,97,54,15043,83.44,2760,13801
1782553352.003,1,3,3,4,16,63,96,53,15041,87.10,2797,13801
1782553352.003,2,3,3,4,16,57,95,54,15043,79.65,2730,13801
1782553352.003,3,3,3,4,16,43,97,52,15043,76.84,2775,13801
1782553352.003,4,3,3,4,16,66,97,53,15043,83.50,2760,13801
1782553353.004,1,3,3,4,16,63,96,54,15041,87.16,2797,13801
1782553353.004,2,3,3,4,16,57,96,55,15043,79.84,2730,13801
1782553353.004,3,3,3,4,16,44,97,52,15043,76.96,2775,13801
1782553353.004,4,3,3,4,16,66,96,54,15043,83.60,2760,13801
1782553354.001,1,3,3,4,16,64,97,54,15041,87.72,2797,13801
1782553354.001,2,3,3,4,16,57,97,54,15043,80.01,2730,13801
1782553354.001,3,3,3,4,16,44,96,52,15043,77.14,2775,13801
1782553354.001,4,3,3,4,16,66,96,55,15043,84.00,2760,13801
1782553355.004,1,3,3,4,16,64,97,54,15041,87.56,2797,13801
1782553355.004,2,3,3,4,16,57,97,55,15043,80.01,2730,13801
1782553355.004,3,3,3,4,16,44,96,52,15043,77.31,2775,13801
1782553355.004,4,3,3,4,16,66,96,55,15043,83.93,2760,13801
1782553356.002,1,3,3,4,16,64,96,54,15041,87.46,2797,13801
1782553356.002,2,3,3,4,16,57,97,54,15043,79.88,2730,13801
1782553356.002,3,3,3,4,16,44,96,53,15043,77.22,2775,13801
1782553356.002,4,3,3,4,16,66,95,55,15043,83.92,2760,13801
1782553356.992,1,3,3,4,16,64,96,55,15041,87.36,2797,13801
1782553356.992,2,3,3,4,16,57,97,54,15043,80.02,2730,13801
1782553356.992,3,3,3,4,16,45,96,53,15043,77.26,2775,13801
1782553356.992,4,3,3,4,16,66,96,55,15043,83.75,2760,13801
1782553358.015,1,3,3,4,16,62,100,4,15041,81.98,2805,13801
1782553358.015,2,3,3,4,16,57,100,4,15043,61.78,2737,13801
1782553358.015,3,3,3,4,16,44,100,3,15043,64.82,2790,13801
1782553358.015,4,3,3,4,16,64,100,4,15043,77.62,2760,13801
1782553359.014,1,3,3,4,16,64,100,4,15041,49.77,2805,13801
1782553359.014,2,3,3,4,16,55,100,4,15043,44.97,2737,13801
1782553359.014,3,3,3,4,16,42,100,4,15043,41.97,2790,13801
1782553359.014,4,3,3,4,16,63,100,4,15043,46.74,2760,13801
1782553360.012,1,3,3,4,16,60,100,4,15041,49.71,2805,13801
1782553360.012,2,3,3,4,16,56,100,4,15043,45.02,2737,13801
1782553360.012,3,3,3,4,16,42,100,4,15043,41.89,2790,13801
1782553360.012,4,3,3,4,16,63,100,5,15043,46.09,2760,13801
1782553361.017,1,3,3,4,16,61,100,3,15041,49.33,2805,13801
1782553361.017,2,3,3,4,16,54,100,4,15043,44.57,2737,13801
1782553361.017,3,3,3,4,16,42,100,4,15043,41.55,2797,13801
1782553361.017,4,3,3,4,16,64,100,4,15043,46.08,2760,13801
1782553362.016,1,3,3,4,16,60,100,4,15041,49.28,2805,13801
1782553362.016,2,3,3,4,16,54,100,4,15043,44.88,2737,13801
1782553362.016,3,3,3,4,16,42,100,4,15043,41.99,2797,13801
1782553362.016,4,3,3,4,16,62,100,4,15043,46.30,2760,13801
1782553363.004,1,3,3,4,16,63,95,55,15041,65.21,2797,13801
1782553363.004,2,3,3,4,16,57,97,54,15043,71.62,2730,13801
1782553363.004,3,3,3,4,16,45,96,53,15043,66.84,2775,13801
1782553363.004,4,3,3,4,16,65,96,55,15043,64.07,2760,13801
1782553363.998,1,3,3,4,16,64,96,55,15041,87.27,2797,13801
1782553363.998,2,3,3,4,16,57,97,54,15043,79.71,2730,13801
1782553363.998,3,3,3,4,16,45,96,53,15043,77.51,2775,13801
1782553363.998,4,3,3,4,16,65,96,56,15043,83.40,2760,13801
1782553364.999,1,3,3,4,16,63,96,54,15041,87.30,2797,13801
1782553364.999,2,3,3,4,16,57,97,54,15043,79.91,2730,13801
1782553364.999,3,3,3,4,16,45,96,52,15043,77.61,2775,13801
1782553364.999,4,3,3,4,16,65,96,56,15043,83.65,2760,13801
1782553365.999,1,3,3,4,16,63,96,54,15041,87.48,2797,13801
1782553365.999,2,3,3,4,16,57,96,54,15043,79.89,2730,13801
1782553365.999,3,3,3,4,16,45,96,53,15043,77.61,2775,13801
1782553365.999,4,3,3,4,16,65,95,55,15043,83.79,2760,13801
1782553366.998,1,3,3,4,16,64,96,52,15041,86.93,2797,13801
1782553366.998,2,3,3,4,16,57,97,54,15043,79.45,2730,13801
1782553366.998,3,3,3,4,16,45,96,54,15043,77.21,2775,13801
1782553366.998,4,3,3,4,16,65,97,52,15043,83.30,2760,13801
1782553368.001,1,3,3,4,16,64,95,55,15041,87.46,2797,13801
1782553368.001,2,3,3,4,16,57,97,54,15043,79.93,2730,13801
1782553368.001,3,3,3,4,16,45,96,53,15043,77.59,2775,13801
1782553368.001,4,3,3,4,16,65,96,54,15043,83.76,2760,13801
1782553369.000,1,3,3,4,16,64,95,55,15041,87.45,2797,13801
1782553369.000,2,3,3,4,16,57,97,54,15043,79.99,2730,13801
1782553369.000,3,3,3,4,16,45,96,53,15043,77.74,2775,13801
1782553369.000,4,3,3,4,16,65,97,54,15043,83.78,2760,13801
1782553369.994,1,3,3,4,16,64,96,55,15041,87.49,2797,13801
1782553369.994,2,3,3,4,16,57,96,54,15043,79.97,2730,13801
1782553369.994,3,3,3,4,16,46,96,54,15043,77.74,2775,13801
1782553369.994,4,3,3,4,16,66,97,55,15043,83.79,2760,13801
1782553370.998,1,3,3,4,16,64,95,54,15041,87.55,2797,13801
1782553370.998,2,3,3,4,16,58,97,54,15043,79.89,2730,13801
1782553370.998,3,3,3,4,16,46,96,54,15043,77.65,2775,13801
1782553370.998,4,3,3,4,16,66,97,54,15043,83.73,2760,13801
1782553372.004,1,3,3,4,16,64,95,54,15041,87.52,2797,13801
1782553372.004,2,3,3,4,16,58,97,54,15043,79.96,2730,13801
1782553372.004,3,3,3,4,16,45,96,53,15043,77.69,2775,13801
1782553372.004,4,3,3,4,16,66,97,55,15043,83.83,2760,13801
1782553372.995,1,3,3,4,16,64,95,55,15041,87.45,2797,13801
1782553372.995,2,3,3,4,16,58,96,54,15043,79.89,2730,13801
1782553372.995,3,3,3,4,16,46,97,52,15043,77.67,2775,13801
1782553372.995,4,3,3,4,16,66,97,55,15043,83.82,2760,13801
1782553374.004,1,3,3,4,16,64,96,55,15041,87.48,2797,13801
1782553374.004,2,3,3,4,16,58,95,55,15043,79.87,2730,13801
1782553374.004,3,3,3,4,16,46,97,53,15043,77.77,2782,13801
1782553374.004,4,3,3,4,16,66,97,55,15043,83.79,2760,13801
1782553375.002,1,3,3,4,16,64,97,55,15041,87.56,2797,13801
1782553375.002,2,3,3,4,16,58,95,54,15043,80.03,2730,13801
1782553375.002,3,3,3,4,16,46,97,52,15043,77.79,2775,13801
1782553375.002,4,3,3,4,16,66,97,55,15043,83.75,2760,13801
1782553375.997,1,3,3,4,16,64,96,54,15041,87.33,2797,13801
1782553375.997,2,3,3,4,16,58,97,55,15043,79.60,2730,13801
1782553375.997,3,3,3,4,16,46,96,52,15043,77.80,2775,13801
1782553375.997,4,3,3,4,16,66,96,54,15043,83.61,2760,13801
1782553377.011,1,3,3,4,16,64,97,54,15041,87.52,2797,13801
1782553377.011,2,3,3,4,16,58,97,54,15043,79.85,2730,13801
1782553377.011,3,3,3,4,16,46,97,52,15043,77.83,2775,13801
1782553377.011,4,3,3,4,16,66,96,54,15043,83.57,2760,13801
1782553377.996,1,3,3,4,16,64,97,54,15041,87.37,2797,13801
1782553377.996,2,3,3,4,16,58,96,54,15043,79.80,2730,13801
1782553377.996,3,3,3,4,16,46,96,52,15043,77.91,2775,13801
1782553377.996,4,3,3,4,16,66,95,55,15043,83.64,2760,13801
1782553378.996,1,3,3,4,16,64,96,54,15041,87.45,2797,13801
1782553378.996,2,3,3,4,16,58,97,54,15043,79.85,2730,13801
1782553378.996,3,3,3,4,16,46,96,53,15043,78.02,2775,13801
1782553378.996,4,3,3,4,16,66,96,55,15043,83.82,2760,13801
1782553380.003,1,3,3,4,16,64,96,54,15041,87.37,2797,13801
1782553380.003,2,3,3,4,16,58,97,54,15043,79.95,2730,13801
1782553380.003,3,3,3,4,16,47,95,53,15043,78.08,2775,13801
1782553380.003,4,3,3,4,16,66,96,55,15043,83.66,2760,13801
1782553380.999,1,3,3,4,16,64,95,54,15041,87.47,2797,13801
1782553380.999,2,3,3,4,16,58,97,53,15043,79.93,2730,13801
1782553380.999,3,3,3,4,16,47,96,53,15043,77.88,2782,13801
1782553380.999,4,3,3,4,16,66,97,54,15043,83.72,2760,13801
1782553382.007,1,3,3,4,16,64,96,54,15041,87.39,2797,13801
1782553382.007,2,3,3,4,16,58,95,55,15043,80.10,2730,13801
1782553382.007,3,3,3,4,16,47,97,52,15043,77.92,2775,13801
1782553382.007,4,3,3,4,16,66,97,54,15043,83.70,2760,13801
1782553383.006,1,3,3,4,16,64,97,55,15041,87.73,2797,13801
1782553383.006,2,3,3,4,16,59,95,55,15043,80.32,2730,13801
1782553383.006,3,3,3,4,16,47,97,53,15043,78.18,2775,13801
1782553383.006,4,3,3,4,16,66,97,55,15043,83.85,2760,13801
1782553383.994,1,3,3,4,16,64,97,54,15041,87.84,2797,13801
1782553383.994,2,3,3,4,16,58,95,55,15043,80.25,2730,13801
1782553383.994,3,3,3,4,16,47,96,52,15043,78.12,2775,13801
1782553383.994,4,3,3,4,16,66,97,55,15043,83.89,2760,13801
1782553384.997,1,3,3,4,16,64,97,55,15041,87.84,2797,13801
1782553384.997,2,3,3,4,16,58,96,55,15043,80.20,2730,13801
1782553384.997,3,3,3,4,16,47,97,52,15043,78.17,2782,13801
1782553384.997,4,3,3,4,16,66,96,54,15043,83.82,2760,13801
1782553386.001,1,3,3,4,16,64,97,54,15041,87.96,2797,13801
1782553386.001,2,3,3,4,16,58,96,55,15043,80.33,2730,13801
1782553386.001,3,3,3,4,16,47,97,52,15043,78.47,2775,13801
1782553386.001,4,3,3,4,16,66,96,54,15043,84.05,2760,13801
1782553387.009,1,3,3,4,16,64,97,54,15041,87.90,2797,13801
1782553387.009,2,3,3,4,16,58,97,54,15043,80.37,2730,13801
1782553387.009,3,3,3,4,16,47,96,52,15043,78.48,2775,13801
1782553387.009,4,3,3,4,16,67,95,55,15043,83.96,2760,13801
1782553388.006,1,3,3,4,16,64,97,54,15041,87.86,2797,13801
1782553388.006,2,3,3,4,16,58,97,54,15043,80.32,2730,13801
1782553388.006,3,3,3,4,16,47,96,52,15043,78.50,2782,13801
1782553388.006,4,3,3,4,16,66,95,55,15043,83.97,2760,13801
1782553389.001,1,3,3,4,16,65,97,54,15041,87.92,2797,13801
1782553389.001,2,3,3,4,16,58,97,54,15043,80.40,2730,13801
1782553389.001,3,3,3,4,16,48,95,53,15043,78.64,2782,13801
1782553389.001,4,3,3,4,16,66,95,55,15043,83.95,2760,13801
1782553389.997,1,3,3,4,16,65,96,54,15041,88.09,2797,13801
1782553389.997,2,3,3,4,16,58,97,54,15043,80.42,2730,13801
1782553389.997,3,3,3,4,16,48,95,53,15043,78.58,2782,13801
1782553389.997,4,3,3,4,16,66,96,55,15043,83.92,2760,13801
1782553390.997,1,3,3,4,16,65,96,55,15041,88.09,2797,13801
1782553390.997,2,3,3,4,16,59,96,54,15043,80.56,2730,13801
1782553390.997,3,3,3,4,16,48,96,53,15043,78.59,2775,13801
1782553390.997,4,3,3,4,16,66,97,54,15043,84.04,2760,13801
1782553392.006,1,3,3,4,16,65,96,55,15041,88.07,2797,13801
1782553392.006,2,3,3,4,16,59,96,55,15043,80.57,2730,13801
1782553392.006,3,3,3,4,16,48,97,52,15043,78.58,2782,13801
1782553392.006,4,3,3,4,16,66,97,54,15043,84.08,2760,13801
1782553393.004,1,3,3,4,16,65,97,55,15041,87.95,2797,13801
1782553393.004,2,3,3,4,16,59,95,54,15043,80.58,2730,13801
1782553393.004,3,3,3,4,16,48,97,52,15043,78.71,2782,13801
1782553393.004,4,3,3,4,16,66,96,55,15043,84.05,2760,13801
1782553394.007,1,3,3,4,16,65,97,54,15041,87.98,2797,13801
1782553394.007,2,3,3,4,16,58,95,55,15043,80.76,2730,13801
1782553394.007,3,3,3,4,16,48,97,52,15043,78.88,2782,13801
1782553394.007,4,3,3,4,16,66,96,55,15043,84.08,2760,13801
1782553395.000,1,3,3,4,16,65,97,54,15041,88.07,2797,13801
1782553395.000,2,3,3,4,16,59,96,55,15043,80.49,2730,13801
