wall_epoch,index,pcie.link.gen.current,pcie.link.gen.max,pcie.link.width.current,pcie.link.width.max,temperature.gpu,utilization.gpu,utilization.memory,memory.used,power.draw,clocks.current.sm,clocks.current.memory
1782562450.117,1,3,3,4,16,65,82,49,15005,88.97,2797,13801
1782562450.117,2,3,3,4,16,55,0,0,15007,72.26,2737,13801
1782562450.117,3,3,3,4,16,43,95,55,15007,78.01,2790,13801
1782562450.117,4,3,3,4,16,63,0,0,15007,73.53,2760,13801
1782562451.119,1,3,3,4,16,59,0,0,15005,35.66,2805,13801
1782562451.119,2,3,3,4,16,53,0,0,15007,29.33,2737,13801
1782562451.119,3,3,3,4,16,38,0,0,15007,29.10,2797,13801
1782562451.119,4,3,3,4,16,62,0,0,15007,32.12,2767,13801
1782562452.117,1,3,3,4,16,58,0,0,15005,29.49,2812,13801
1782562452.117,2,3,3,4,16,53,0,0,15007,26.61,2722,13801
1782562452.117,3,3,3,4,16,38,0,0,15007,24.09,2722,13801
1782562452.117,4,3,3,4,16,61,0,0,15007,27.77,2745,13801
1782562453.116,1,3,3,4,16,58,0,0,15005,26.34,2595,13801
1782562453.116,2,3,3,4,16,52,0,0,15007,23.88,2595,13801
1782562453.116,3,3,3,4,16,38,0,0,15007,21.95,2565,13801
1782562453.116,4,3,3,4,16,61,0,0,15007,26.12,2595,13801
1782562454.117,1,3,3,4,16,57,0,0,15005,23.08,2595,13801
1782562454.117,2,3,3,4,16,52,0,0,15007,23.86,2595,13801
1782562454.117,3,3,3,4,16,37,0,0,15007,19.81,2565,13801
1782562454.117,4,3,3,4,16,60,0,0,15007,24.34,2595,13801
1782562455.116,1,3,3,4,16,57,0,0,15005,22.71,2595,13801
1782562455.116,2,3,3,4,16,52,0,0,15007,23.83,2595,13801
1782562455.116,3,3,3,4,16,37,0,0,15007,19.76,2565,13801
1782562455.116,4,3,3,4,16,60,0,0,15007,24.27,2595,13801
1782562456.118,1,3,3,4,16,57,0,0,15005,22.61,2595,13801
1782562456.118,2,3,3,4,16,52,0,0,15007,23.82,2595,13801
1782562456.118,3,3,3,4,16,37,0,0,15007,19.75,2565,13801
1782562456.118,4,3,3,4,16,60,0,0,15007,24.09,2595,13801
1782562457.117,1,3,3,4,16,57,0,0,15005,22.34,2595,13801
1782562457.117,2,3,3,4,16,52,0,0,15007,23.79,2595,13801
1782562457.117,3,3,3,4,16,37,0,0,15007,19.74,2565,13801
1782562457.117,4,3,3,4,16,60,0,0,15007,24.04,2595,13801
1782562458.136,1,3,3,4,16,60,100,6,15005,37.11,2805,13801
1782562458.136,2,3,3,4,16,55,100,6,15007,38.34,2737,13801
1782562458.136,3,3,3,4,16,40,100,6,15007,25.17,2797,13801
1782562458.136,4,3,3,4,16,63,100,6,15007,40.10,2760,13801
1782562459.133,1,3,3,4,16,61,100,6,15005,57.82,2805,13801
1782562459.133,2,3,3,4,16,58,100,6,15007,51.47,2737,13801
1782562459.133,3,3,3,4,16,40,100,6,15007,48.97,2797,13801
1782562459.133,4,3,3,4,16,64,100,6,15007,54.37,2760,13801
1782562460.152,1,3,3,4,16,63,100,6,15005,57.92,2805,13801
1782562460.152,2,3,3,4,16,55,99,23,15007,52.37,2737,13801
1782562460.152,3,3,3,4,16,41,100,6,15007,48.85,2797,13801
1782562460.152,4,3,3,4,16,64,100,11,15007,57.33,2760,13801
1782562461.146,1,3,3,4,16,63,96,56,15005,81.52,2797,13801
1782562461.146,2,3,3,4,16,56,95,55,15007,78.29,2730,13801
1782562461.146,3,3,3,4,16,41,96,56,15007,70.86,2790,13801
1782562461.146,4,3,3,4,16,65,96,56,15007,84.51,2760,13801
1782562462.148,1,3,3,4,16,63,97,56,15005,88.33,2797,13801
1782562462.148,2,3,3,4,16,56,97,55,15007,80.26,2730,13801
1782562462.148,3,3,3,4,16,42,96,54,15007,77.43,2790,13801
1782562462.148,4,3,3,4,16,65,96,57,15007,84.75,2760,13801
1782562463.150,1,3,3,4,16,63,96,56,15005,88.42,2797,13801
1782562463.150,2,3,3,4,16,56,95,55,15007,80.50,2730,13801
1782562463.150,3,3,3,4,16,42,96,55,15007,77.40,2790,13801
1782562463.150,4,3,3,4,16,65,96,56,15007,84.68,2760,13801
1782562464.151,1,3,3,4,16,63,97,55,15005,88.32,2797,13801
1782562464.151,2,3,3,4,16,57,97,55,15007,80.43,2730,13801
1782562464.151,3,3,3,4,16,42,96,53,15007,77.36,2790,13801
1782562464.151,4,3,3,4,16,66,96,57,15007,84.86,2760,13801
1782562465.149,1,3,3,4,16,63,96,56,15005,88.40,2797,13801
1782562465.149,2,3,3,4,16,56,95,56,15007,80.42,2730,13801
1782562465.149,3,3,3,4,16,42,96,55,15007,77.30,2790,13801
1782562465.149,4,3,3,4,16,65,96,55,15007,84.90,2760,13801
1782562466.155,1,3,3,4,16,63,97,55,15005,88.25,2797,13801
1782562466.155,2,3,3,4,16,57,97,55,15007,80.28,2730,13801
1782562466.155,3,3,3,4,16,42,95,54,15007,77.36,2775,13801
1782562466.155,4,3,3,4,16,66,96,56,15007,84.85,2760,13801
1782562467.153,1,3,3,4,16,63,96,56,15005,88.49,2797,13801
1782562467.153,2,3,3,4,16,57,95,56,15007,80.52,2730,13801
1782562467.153,3,3,3,4,16,42,97,54,15007,77.38,2775,13801
1782562467.153,4,3,3,4,16,66,95,55,15007,85.04,2760,13801
1782562468.151,1,3,3,4,16,63,97,55,15005,88.38,2797,13801
1782562468.151,2,3,3,4,16,57,97,55,15007,80.34,2730,13801
1782562468.151,3,3,3,4,16,42,95,54,15007,77.47,2775,13801
1782562468.151,4,3,3,4,16,66,95,57,15007,85.09,2760,13801
1782562469.153,1,3,3,4,16,63,97,57,15005,88.42,2797,13801
1782562469.153,2,3,3,4,16,57,95,56,15007,80.43,2730,13801
1782562469.153,3,3,3,4,16,42,97,54,15007,77.41,2775,13801
1782562469.153,4,3,3,4,16,66,96,56,15007,85.04,2760,13801
1782562470.148,1,3,3,4,16,63,96,55,15005,88.52,2797,13801
1782562470.148,2,3,3,4,16,57,97,55,15007,80.61,2730,13801
1782562470.148,3,3,3,4,16,42,95,54,15007,77.71,2775,13801
1782562470.148,4,3,3,4,16,66,95,56,15007,85.10,2760,13801
1782562471.157,1,3,3,4,16,63,97,56,15005,88.43,2797,13801
1782562471.157,2,3,3,4,16,57,96,56,15007,80.47,2730,13801
1782562471.157,3,3,3,4,16,42,96,54,15007,77.60,2775,13801
1782562471.157,4,3,3,4,16,66,97,56,15007,85.04,2760,13801
1782562472.155,1,3,3,4,16,64,96,56,15005,88.62,2797,13801
1782562472.155,2,3,3,4,16,57,96,55,15007,80.53,2730,13801
1782562472.155,3,3,3,4,16,42,95,55,15007,77.77,2775,13801
