wall_epoch,index,pcie.link.gen.current,pcie.link.gen.max,pcie.link.width.current,pcie.link.width.max,temperature.gpu,utilization.gpu,utilization.memory,memory.used,power.draw,clocks.current.sm,clocks.current.memory
1782535590.887,1,3,3,4,16,65,95,56,15527,89.15,2797,13801
1782535590.887,2,3,3,4,16,59,97,54,15527,81.90,2737,13801
1782535590.887,3,3,3,4,16,56,97,52,15527,83.01,2775,13801
1782535590.887,4,3,3,4,16,64,95,56,15527,84.52,2760,13801
1782535591.885,1,3,3,4,16,60,0,0,15527,42.04,2812,13801
1782535591.885,2,3,3,4,16,55,0,0,15527,38.20,2737,13801
1782535591.885,3,3,3,4,16,51,0,0,15527,28.41,2782,13801
1782535591.885,4,3,3,4,16,59,0,0,15527,34.64,2767,13801
1782535592.885,1,3,3,4,16,59,0,0,15527,36.54,2790,13801
1782535592.885,2,3,3,4,16,54,0,0,15527,28.35,2737,13801
1782535592.885,3,3,3,4,16,50,0,0,15527,26.06,2715,13801
1782535592.885,4,3,3,4,16,59,0,0,15527,29.02,2782,13801
1782535593.884,1,3,3,4,16,59,0,0,15527,27.98,2595,13801
1782535593.884,2,3,3,4,16,54,0,0,15527,26.90,2595,13801
1782535593.884,3,3,3,4,16,50,0,0,15527,23.55,2565,13801
1782535593.884,4,3,3,4,16,59,0,0,15527,27.04,2595,13801
1782535594.883,1,3,3,4,16,58,0,0,15527,25.35,2595,13801
1782535594.883,2,3,3,4,16,54,0,0,15527,25.38,2595,13801
1782535594.883,3,3,3,4,16,50,0,0,15527,23.35,2565,13801
1782535594.883,4,3,3,4,16,58,0,0,15527,24.80,2595,13801
1782535595.887,1,3,3,4,16,58,0,0,15527,22.49,2595,13801
1782535595.887,2,3,3,4,16,53,0,0,15527,23.93,2595,13801
1782535595.887,3,3,3,4,16,50,0,0,15527,23.29,2565,13801
1782535595.887,4,3,3,4,16,58,0,0,15527,22.45,2595,13801
1782535596.885,1,3,3,4,16,57,0,0,15527,22.22,2595,13801
1782535596.885,2,3,3,4,16,53,0,0,15527,23.89,2595,13801
1782535596.885,3,3,3,4,16,50,0,0,15527,23.24,2565,13801
1782535596.885,4,3,3,4,16,58,0,0,15527,22.38,2595,13801
1782535597.886,1,3,3,4,16,57,0,0,15527,22.10,2595,13801
1782535597.886,2,3,3,4,16,53,0,0,15527,23.86,2595,13801
1782535597.886,3,3,3,4,16,50,0,0,15527,23.23,2565,13801
1782535597.886,4,3,3,4,16,57,0,0,15527,22.28,2595,13801
1782535598.886,1,3,3,4,16,57,0,0,15527,21.92,2595,13801
1782535598.886,2,3,3,4,16,53,0,0,15527,23.82,2595,13801
1782535598.886,3,3,3,4,16,49,0,0,15527,23.28,2565,13801
1782535598.886,4,3,3,4,16,57,0,0,15527,22.25,2595,13801
1782535599.903,1,3,3,4,16,59,100,6,15527,24.90,2805,13801
1782535599.903,2,3,3,4,16,58,100,5,15527,26.47,2730,13801
1782535599.903,3,3,3,4,16,54,100,5,15527,31.09,2775,13801
1782535599.903,4,3,3,4,16,59,100,6,15527,24.79,2760,13801
1782535600.904,1,3,3,4,16,61,100,6,15527,57.03,2805,13801
1782535600.904,2,3,3,4,16,56,100,5,15527,51.69,2730,13801
1782535600.904,3,3,3,4,16,52,100,5,15527,52.76,2775,13801
1782535600.904,4,3,3,4,16,63,100,6,15527,52.69,2760,13801
1782535601.906,1,3,3,4,16,62,100,6,15527,57.10,2805,13801
1782535601.906,2,3,3,4,16,59,100,6,15527,52.19,2730,13801
1782535601.906,3,3,3,4,16,54,100,5,15527,53.24,2775,13801
1782535601.906,4,3,3,4,16,61,100,6,15527,53.21,2760,13801
1782535602.905,1,3,3,4,16,61,100,6,15527,58.01,2805,13801
1782535602.905,2,3,3,4,16,56,100,6,15527,52.49,2730,13801
1782535602.905,3,3,3,4,16,53,100,5,15527,53.70,2775,13801
1782535602.905,4,3,3,4,16,62,100,6,15527,53.43,2760,13801
1782535603.912,1,3,3,4,16,62,97,42,15527,64.07,2797,13801
1782535603.912,2,3,3,4,16,57,98,41,15527,58.90,2730,13801
