wall_epoch,index,pcie.link.gen.current,pcie.link.gen.max,pcie.link.width.current,pcie.link.width.max,temperature.gpu,utilization.gpu,utilization.memory,memory.used,power.draw,clocks.current.sm,clocks.current.memory
1782544717.988,1,3,3,4,16,60,0,0,15411,76.72,2805,13801
1782544717.988,2,3,3,4,16,54,5,4,15415,75.45,2737,13801
1782544717.988,3,3,3,4,16,54,97,52,15415,81.10,2775,13801
1782544717.988,4,3,3,4,16,59,0,0,15395,72.69,2760,13801
1782544718.984,1,3,3,4,16,58,0,0,15411,35.55,2812,13801
1782544718.984,2,3,3,4,16,53,0,0,15415,27.60,2737,13801
1782544718.984,3,3,3,4,16,50,0,0,15415,34.58,2782,13801
1782544718.984,4,3,3,4,16,58,0,0,15395,37.72,2782,13801
1782544719.984,1,3,3,4,16,58,0,0,15411,28.02,2745,13801
1782544719.984,2,3,3,4,16,52,0,0,15415,25.62,2737,13801
1782544719.984,3,3,3,4,16,50,0,0,15415,28.99,2715,13801
1782544719.984,4,3,3,4,16,58,0,0,15395,26.76,2595,13801
1782544720.982,1,3,3,4,16,57,0,0,15411,24.96,2595,13801
1782544720.982,2,3,3,4,16,52,0,0,15415,24.70,2595,13801
1782544720.982,3,3,3,4,16,49,0,0,15415,25.72,2565,13801
1782544720.982,4,3,3,4,16,58,0,0,15395,26.76,2595,13801
1782544721.983,1,3,3,4,16,57,0,0,15411,21.74,2595,13801
1782544721.983,2,3,3,4,16,52,0,0,15415,23.77,2595,13801
1782544721.983,3,3,3,4,16,49,0,0,15415,23.11,2565,13801
1782544721.983,4,3,3,4,16,57,0,0,15395,24.47,2595,13801
1782544722.985,1,3,3,4,16,57,0,0,15411,21.61,2595,13801
1782544722.985,2,3,3,4,16,51,0,0,15415,23.74,2595,13801
1782544722.985,3,3,3,4,16,49,0,0,15415,23.06,2565,13801
1782544722.985,4,3,3,4,16,57,0,0,15395,21.90,2595,13801
1782544723.984,1,3,3,4,16,56,0,0,15411,21.57,2595,13801
1782544723.984,2,3,3,4,16,51,0,0,15415,23.73,2595,13801
1782544723.984,3,3,3,4,16,49,0,0,15415,23.01,2565,13801
1782544723.984,4,3,3,4,16,57,0,0,15395,21.90,2595,13801
1782544724.983,1,3,3,4,16,56,0,0,15411,21.42,2595,13801
1782544724.983,2,3,3,4,16,51,0,0,15415,23.74,2595,13801
1782544724.983,3,3,3,4,16,49,0,0,15415,22.97,2565,13801
1782544724.983,4,3,3,4,16,57,0,0,15395,21.84,2595,13801
1782544725.984,1,3,3,4,16,56,0,0,15411,21.21,2595,13801
1782544725.984,2,3,3,4,16,51,0,0,15415,23.72,2595,13801
1782544725.984,3,3,3,4,16,49,0,0,15415,22.86,2565,13801
1782544725.984,4,3,3,4,16,56,0,0,15395,21.69,2595,13801
1782544727.035,1,3,3,4,16,58,100,3,15411,30.64,2812,13801
1782544727.035,2,3,3,4,16,53,100,4,15415,30.02,2737,13801
1782544727.035,3,3,3,4,16,53,100,4,15415,24.07,2782,13801
1782544727.035,4,3,3,4,16,59,100,5,15395,29.53,2775,13801
1782544728.038,1,3,3,4,16,59,100,4,15411,47.81,2812,13801
1782544728.038,2,3,3,4,16,53,100,4,15415,43.59,2737,13801
1782544728.038,3,3,3,4,16,51,100,3,15415,45.09,2782,13801
1782544728.038,4,3,3,4,16,58,100,3,15395,44.33,2775,13801
1782544729.040,1,3,3,4,16,58,100,3,15411,47.53,2812,13801
1782544729.040,2,3,3,4,16,54,100,4,15415,44.05,2737,13801
1782544729.040,3,3,3,4,16,51,100,4,15415,44.64,2782,13801
1782544729.040,4,3,3,4,16,59,100,4,15395,44.76,2775,13801
1782544730.037,1,3,3,4,16,59,100,4,15411,48.16,2812,13801
1782544730.037,2,3,3,4,16,53,100,4,15415,43.81,2737,13801
1782544730.037,3,3,3,4,16,51,100,4,15415,44.89,2782,13801
1782544730.037,4,3,3,4,16,58,100,3,15395,44.39,2775,13801
1782544731.036,1,3,3,4,16,59,100,4,15411,47.82,2812,13801
1782544731.036,2,3,3,4,16,53,100,4,15415,44.17,2737,13801
1782544731.036,3,3,3,4,16,53,100,4,15415,44.88,2782,13801
1782544731.036,4,3,3,4,16,59,100,4,15395,44.77,2775,13801
1782544732.035,1,3,3,4,16,59,100,4,15531,49.32,2812,13801
1782544732.035,2,3,3,4,16,53,100,9,15535,45.72,2737,13801
1782544732.035,3,3,3,4,16,51,100,8,15535,46.21,2782,13801
1782544732.035,4,3,3,4,16,58,100,4,15515,46.72,2775,13801
1782544733.043,1,3,3,4,16,58,100,9,15531,49.83,2812,13801
1782544733.043,2,3,3,4,16,53,100,4,15535,44.43,2737,13801
1782544733.043,3,3,3,4,16,51,100,5,15535,46.44,2782,13801
1782544733.043,4,3,3,4,16,58,100,9,15515,45.59,2775,13801
1782544734.041,1,3,3,4,16,58,100,6,15531,48.12,2812,13801
1782544734.041,2,3,3,4,16,53,100,9,15535,44.80,2737,13801
1782544734.041,3,3,3,4,16,50,100,8,15535,46.13,2782,13801
1782544734.041,4,3,3,4,16,58,100,6,15515,45.33,2775,13801
1782544735.036,1,3,3,4,16,64,100,9,15531,48.41,2812,13801
1782544735.036,2,3,3,4,16,55,100,6,15535,44.58,2737,13801
1782544735.036,3,3,3,4,16,52,100,4,15535,46.02,2782,13801
1782544735.036,4,3,3,4,16,60,100,9,15515,45.50,2775,13801
1782544736.044,1,3,3,4,16,59,100,6,15531,48.34,2812,13801
1782544736.044,2,3,3,4,16,53,100,4,15535,44.78,2737,13801
1782544736.044,3,3,3,4,16,51,100,8,15535,46.11,2775,13801
1782544736.044,4,3,3,4,16,59,100,9,15515,45.95,2775,13801
1782544737.047,1,3,3,4,16,58,100,6,15531,49.67,2812,13801
1782544737.047,2,3,3,4,16,53,100,9,15535,45.67,2737,13801
1782544737.047,3,3,3,4,16,50,100,8,15535,47.05,2782,13801
1782544737.047,4,3,3,4,16,58,100,6,15515,45.85,2775,13801
1782544738.045,1,3,3,4,16,58,100,9,15531,48.38,2812,13801
1782544738.045,2,3,3,4,16,52,100,6,15535,44.57,2737,13801
1782544738.045,3,3,3,4,16,50,100,5,15535,45.52,2775,13801
1782544738.045,4,3,3,4,16,58,100,9,15515,45.60,2775,13801
1782544739.042,1,3,3,4,16,58,100,4,15531,48.17,2812,13801
1782544739.042,2,3,3,4,16,52,100,9,15535,44.65,2737,13801
1782544739.042,3,3,3,4,16,55,100,8,15535,45.85,2782,13801
1782544739.042,4,3,3,4,16,62,100,4,15515,45.56,2775,13801
1782544740.036,1,3,3,4,16,62,100,9,15531,48.64,2812,13801
1782544740.036,2,3,3,4,16,54,100,3,15535,44.19,2737,13801
1782544740.036,3,3,3,4,16,51,100,5,15535,45.80,2782,13801
1782544740.036,4,3,3,4,16,59,100,8,15515,45.64,2775,13801
1782544741.040,1,3,3,4,16,58,100,9,15531,48.76,2812,13801
1782544741.040,2,3,3,4,16,52,100,6,15535,45.65,2737,13801
1782544741.040,3,3,3,4,16,51,100,3,15535,45.92,2782,13801
1782544741.040,4,3,3,4,16,58,100,9,15515,46.76,2775,13801
1782544742.049,1,3,3,4,16,58,100,6,15531,48.72,2812,13801
1782544742.049,2,3,3,4,16,52,100,9,15535,44.83,2737,13801
1782544742.049,3,3,3,4,16,50,100,8,15535,47.11,2782,13801
1782544742.049,4,3,3,4,16,58,100,6,15515,45.04,2775,13801
1782544743.033,1,3,3,4,16,58,100,9,15531,48.38,2812,13801
1782544743.033,2,3,3,4,16,57,100,6,15535,44.60,2737,13801
1782544743.033,3,3,3,4,16,50,100,5,15535,45.83,2782,13801
1782544743.033,4,3,3,4,16,61,100,9,15515,45.36,2775,13801
1782544744.037,1,3,3,4,16,59,100,6,15531,47.93,2812,13801
1782544744.037,2,3,3,4,16,53,100,2,15535,44.79,2737,13801
1782544744.037,3,3,3,4,16,51,100,8,15535,45.80,2782,13801
1782544744.037,4,3,3,4,16,59,100,7,15515,44.96,2775,13801
1782544745.039,1,3,3,4,16,58,100,4,15531,48.74,2812,13801
1782544745.039,2,3,3,4,16,52,100,9,15535,45.67,2737,13801
1782544745.039,3,3,3,4,16,50,100,8,15535,46.99,2782,13801
1782544745.039,4,3,3,4,16,58,100,4,15515,45.95,2775,13801
1782544746.016,1,3,3,4,16,60,97,36,15531,55.17,2805,13801
1782544746.016,2,3,3,4,16,54,98,36,15535,49.31,2730,13801
1782544746.016,3,3,3,4,16,51,97,34,15535,46.57,2767,13801
1782544746.016,4,3,3,4,16,60,97,37,15515,52.46,2775,13801
1782544747.017,1,3,3,4,16,60,98,37,15531,70.06,2805,13801
1782544747.017,2,3,3,4,16,54,97,36,15535,63.78,2730,13801
1782544747.017,3,3,3,4,16,52,98,36,15535,65.74,2767,13801
1782544747.017,4,3,3,4,16,60,98,37,15515,66.41,2775,13801
1782544748.015,1,3,3,4,16,60,98,36,15531,70.21,2797,13801
1782544748.015,2,3,3,4,16,54,97,36,15535,63.91,2730,13801
1782544748.015,3,3,3,4,16,52,98,34,15535,65.86,2767,13801
1782544748.015,4,3,3,4,16,60,98,37,15515,66.47,2760,13801
1782544749.022,1,3,3,4,16,60,97,36,15531,70.36,2797,13801
1782544749.022,2,3,3,4,16,54,98,35,15535,64.04,2730,13801
1782544749.022,3,3,3,4,16,52,97,34,15535,66.06,2767,13801
1782544749.022,4,3,3,4,16,60,98,36,15515,66.67,2760,13801
1782544750.014,1,3,3,4,16,61,97,37,15531,70.42,2797,13801
1782544750.014,2,3,3,4,16,54,98,36,15535,64.01,2730,13801
1782544750.014,3,3,3,4,16,52,97,35,15535,66.00,2767,13801
1782544750.014,4,3,3,4,16,60,97,37,15515,66.61,2760,13801
1782544751.019,1,3,3,4,16,60,98,36,15531,70.49,2797,13801
1782544751.019,2,3,3,4,16,55,97,36,15535,64.24,2730,13801
1782544751.019,3,3,3,4,16,52,98,35,15535,66.17,2767,13801
1782544751.019,4,3,3,4,16,60,97,37,15515,66.86,2760,13801
1782544752.018,1,3,3,4,16,60,98,36,15531,70.45,2797,13801
1782544752.018,2,3,3,4,16,54,97,37,15535,64.27,2730,13801
1782544752.018,3,3,3,4,16,53,98,34,15535,66.09,2767,13801
1782544752.018,4,3,3,4,16,60,98,36,15515,66.89,2760,13801
1782544753.022,1,3,3,4,16,60,97,37,15531,70.47,2797,13801
1782544753.022,2,3,3,4,16,55,98,36,15535,64.10,2730,13801
1782544753.022,3,3,3,4,16,52,98,34,15535,66.01,2767,13801
1782544753.022,4,3,3,4,16,60,98,37,15515,66.70,2760,13801
1782544754.025,1,3,3,4,16,60,97,36,15531,70.62,2797,13801
1782544754.025,2,3,3,4,16,55,98,36,15535,64.24,2730,13801
1782544754.025,3,3,3,4,16,52,97,34,15535,66.10,2767,13801
1782544754.025,4,3,3,4,16,60,97,37,15515,66.80,2760,13801
1782544755.018,1,3,3,4,16,60,98,37,15531,70.26,2797,13801
1782544755.018,2,3,3,4,16,55,97,37,15535,64.24,2730,13801
1782544755.018,3,3,3,4,16,53,98,35,15535,65.97,2767,13801
1782544755.018,4,3,3,4,16,60,97,37,15515,66.76,2760,13801
1782544756.014,1,3,3,4,16,60,98,36,15531,70.62,2797,13801
1782544756.014,2,3,3,4,16,55,97,36,15535,64.51,2730,13801
1782544756.014,3,3,3,4,16,53,98,34,15535,66.30,2767,13801
1782544756.014,4,3,3,4,16,60,98,37,15515,66.92,2760,13801
1782544757.024,1,3,3,4,16,60,97,36,15531,70.51,2797,13801
1782544757.024,2,3,3,4,16,55,98,35,15535,64.38,2730,13801
1782544757.024,3,3,3,4,16,53,97,34,15535,66.19,2767,13801
1782544757.024,4,3,3,4,16,60,98,37,15515,66.95,2760,13801
1782544758.017,1,3,3,4,16,60,98,37,15531,70.57,2797,13801
1782544758.017,2,3,3,4,16,55,98,36,15535,64.30,2730,13801
1782544758.017,3,3,3,4,16,53,97,35,15535,66.23,2767,13801
1782544758.017,4,3,3,4,16,60,97,37,15515,66.96,2760,13801
1782544759.018,1,3,3,4,16,61,98,36,15531,70.63,2797,13801
1782544759.018,2,3,3,4,16,55,97,37,15535,64.43,2730,13801
1782544759.018,3,3,3,4,16,53,98,34,15535,66.10,2767,13801
1782544759.018,4,3,3,4,16,60,98,37,15515,67.06,2760,13801
1782544760.023,1,3,3,4,16,61,97,36,15531,70.69,2797,13801
1782544760.023,2,3,3,4,16,55,98,37,15535,64.33,2730,13801
1782544760.023,3,3,3,4,16,53,98,34,15535,66.18,2767,13801
1782544760.023,4,3,3,4,16,60,98,36,15515,66.94,2760,13801
1782544761.016,1,3,3,4,16,61,97,37,15531,70.67,2797,13801
1782544761.016,2,3,3,4,16,55,98,36,15535,64.35,2730,13801
1782544761.016,3,3,3,4,16,53,97,35,15535,66.19,2767,13801
1782544761.016,4,3,3,4,16,60,97,37,15515,66.96,2760,13801
1782544762.019,1,3,3,4,16,61,98,36,15531,70.47,2797,13801
1782544762.019,2,3,3,4,16,55,97,36,15535,64.34,2730,13801
1782544762.019,3,3,3,4,16,53,97,35,15535,66.06,2767,13801
1782544762.019,4,3,3,4,16,60,97,37,15515,67.06,2760,13801
1782544763.021,1,3,3,4,16,61,98,36,15531,70.66,2797,13801
1782544763.021,2,3,3,4,16,55,97,37,15535,64.49,2730,13801
1782544763.021,3,3,3,4,16,53,98,35,15535,66.09,2767,13801
1782544763.021,4,3,3,4,16,61,98,37,15515,66.91,2760,13801
1782544764.023,1,3,3,4,16,61,97,36,15531,70.70,2797,13801
1782544764.023,2,3,3,4,16,55,98,36,15535,64.44,2730,13801
1782544764.023,3,3,3,4,16,53,98,34,15535,66.31,2767,13801
1782544764.023,4,3,3,4,16,61,98,36,15515,67.04,2760,13801
1782544765.018,1,3,3,4,16,61,98,37,15531,70.66,2797,13801
1782544765.018,2,3,3,4,16,55,98,36,15535,64.57,2730,13801
1782544765.018,3,3,3,4,16,53,97,35,15535,66.24,2767,13801
1782544765.018,4,3,3,4,16,60,97,35,15515,66.93,2760,13801
1782544766.016,1,3,3,4,16,61,98,36,15531,70.78,2797,13801
1782544766.016,2,3,3,4,16,55,97,37,15535,64.55,2730,13801
