wall_epoch,index,pcie.link.gen.current,pcie.link.gen.max,pcie.link.width.current,pcie.link.width.max,temperature.gpu,utilization.gpu,utilization.memory,memory.used,power.draw,clocks.current.sm,clocks.current.memory
1782261764.894,1,3,3,4,16,61,97,58,14589,87.42,2812,13801
1782261764.894,2,3,3,4,16,56,97,58,14589,83.70,2775,13801
1782261764.894,3,3,3,4,16,59,95,57,14589,81.60,2737,13801
1782261764.894,4,3,3,4,16,51,95,56,14589,78.59,2797,13801
1782261765.892,1,3,3,4,16,56,0,0,14589,37.70,2812,13801
1782261765.892,2,3,3,4,16,52,0,0,14589,33.57,2775,13801
1782261765.892,3,3,3,4,16,54,0,0,14589,39.46,2737,13801
1782261765.892,4,3,3,4,16,46,0,0,14589,28.55,2797,13801
1782261766.886,1,3,3,4,16,56,0,0,14589,27.30,2617,13801
1782261766.886,2,3,3,4,16,52,0,0,14589,27.23,2670,13801
1782261766.886,3,3,3,4,16,54,0,0,14589,34.50,2722,13801
1782261766.886,4,3,3,4,16,46,0,0,14589,22.98,2797,13801
1782261767.886,1,3,3,4,16,55,0,0,14589,24.50,2595,13801
1782261767.886,2,3,3,4,16,51,0,0,14589,25.83,2565,13801
1782261767.886,3,3,3,4,16,53,0,0,14589,26.69,2595,13801
1782261767.886,4,3,3,4,16,45,0,0,14589,18.91,2595,13801
1782261768.885,1,3,3,4,16,54,0,0,14589,21.49,2595,13801
1782261768.885,2,3,3,4,16,51,0,0,14589,24.40,2565,13801
1782261768.885,3,3,3,4,16,53,0,0,14589,25.30,2595,13801
1782261768.885,4,3,3,4,16,45,0,0,14589,18.87,2595,13801
1782261769.888,1,3,3,4,16,54,0,0,14589,21.29,2595,13801
1782261769.888,2,3,3,4,16,51,0,0,14589,24.42,2565,13801
1782261769.888,3,3,3,4,16,53,0,0,14589,23.88,2595,13801
1782261769.888,4,3,3,4,16,44,0,0,14589,18.85,2595,13801
1782261770.887,1,3,3,4,16,54,0,0,14589,21.30,2595,13801
1782261770.887,2,3,3,4,16,50,0,0,14589,24.42,2565,13801
1782261770.887,3,3,3,4,16,52,0,0,14589,23.83,2595,13801
1782261770.887,4,3,3,4,16,44,0,0,14589,18.80,2595,13801
1782261771.888,1,3,3,4,16,53,0,0,14589,21.20,2595,13801
1782261771.888,2,3,3,4,16,50,0,0,14589,24.38,2565,13801
1782261771.888,3,3,3,4,16,52,0,0,14589,23.84,2595,13801
1782261771.888,4,3,3,4,16,44,0,0,14589,18.79,2595,13801
1782261772.905,1,3,3,4,16,53,20,14,14589,21.08,2805,13801
1782261772.905,2,3,3,4,16,50,0,0,14589,24.26,2767,13801
1782261772.905,3,3,3,4,16,52,0,0,14589,23.83,2730,13801
1782261772.905,4,3,3,4,16,43,0,0,14589,18.74,2790,13801
1782261773.924,1,3,3,4,16,57,98,33,14589,55.34,2805,13801
1782261773.924,2,3,3,4,16,54,99,17,14589,52.30,2767,13801
1782261773.924,3,3,3,4,16,56,100,8,14589,37.00,2730,13801
1782261773.924,4,3,3,4,16,48,98,20,14589,47.30,2782,13801
1782261774.925,1,3,3,4,16,59,95,57,14589,84.75,2805,13801
1782261774.925,2,3,3,4,16,55,97,56,14589,80.51,2767,13801
1782261774.925,3,3,3,4,16,57,97,57,14589,77.12,2730,13801
1782261774.925,4,3,3,4,16,48,97,56,14589,75.69,2782,13801
1782261775.924,1,3,3,4,16,59,97,58,14589,86.61,2805,13801
1782261775.924,2,3,3,4,16,55,96,57,14589,83.16,2767,13801
1782261775.924,3,3,3,4,16,57,96,57,14589,80.56,2730,13801
1782261775.924,4,3,3,4,16,49,96,56,14589,77.90,2782,13801
1782261776.921,1,3,3,4,16,59,95,59,14589,86.67,2805,13801
1782261776.921,2,3,3,4,16,55,97,56,14589,83.14,2767,13801
1782261776.921,3,3,3,4,16,57,97,57,14589,80.63,2730,13801
1782261776.921,4,3,3,4,16,49,97,56,14589,77.93,2782,13801
1782261777.910,1,3,3,4,16,59,97,58,14589,86.51,2805,13801
