wall_epoch,index,pcie.link.gen.current,pcie.link.gen.max,pcie.link.width.current,pcie.link.width.max,temperature.gpu,utilization.gpu,utilization.memory,memory.used,power.draw,clocks.current.sm,clocks.current.memory
1782284336.288,1,3,3,4,16,60,97,58,14767,87.30,2805,13801
1782284336.288,2,3,3,4,16,53,0,0,14767,72.31,2775,13801
1782284336.288,3,3,3,4,16,55,21,13,14767,76.92,2737,13801
1782284336.288,4,3,3,4,16,45,0,0,14767,70.63,2797,13801
1782284337.288,1,3,3,4,16,55,0,0,14767,35.33,2812,13801
1782284337.288,2,3,3,4,16,53,0,0,14767,36.93,2775,13801
1782284337.288,3,3,3,4,16,52,0,0,14767,33.24,2737,13801
1782284337.288,4,3,3,4,16,43,0,0,14767,27.02,2797,13801
1782284338.279,1,3,3,4,16,55,0,0,14767,34.72,2745,13801
1782284338.279,2,3,3,4,16,52,0,0,14767,27.68,2775,13801
1782284338.279,3,3,3,4,16,52,0,0,14767,25.26,2670,13801
1782284338.279,4,3,3,4,16,42,0,0,14767,21.70,2617,13801
1782284339.279,1,3,3,4,16,54,0,0,14767,26.87,2595,13801
1782284339.279,2,3,3,4,16,52,0,0,14767,24.84,2565,13801
1782284339.279,3,3,3,4,16,51,0,0,14767,24.54,2595,13801
1782284339.279,4,3,3,4,16,42,0,0,14767,18.61,2595,13801
1782284340.281,1,3,3,4,16,54,0,0,14767,24.10,2595,13801
1782284340.281,2,3,3,4,16,52,0,0,14767,24.79,2565,13801
1782284340.281,3,3,3,4,16,51,0,0,14767,23.78,2595,13801
1782284340.281,4,3,3,4,16,42,0,0,14767,18.52,2595,13801
1782284341.283,1,3,3,4,16,54,0,0,14767,21.07,2595,13801
1782284341.283,2,3,3,4,16,51,0,0,14767,24.77,2565,13801
1782284341.283,3,3,3,4,16,51,0,0,14767,23.76,2595,13801
1782284341.283,4,3,3,4,16,41,0,0,14767,18.50,2595,13801
1782284342.281,1,3,3,4,16,53,0,0,14767,21.09,2595,13801
1782284342.281,2,3,3,4,16,51,0,0,14767,24.74,2565,13801
1782284342.281,3,3,3,4,16,51,0,0,14767,23.76,2595,13801
1782284342.281,4,3,3,4,16,41,0,0,14767,18.39,2595,13801
1782284343.281,1,3,3,4,16,53,0,0,14767,21.12,2595,13801
1782284343.281,2,3,3,4,16,51,0,0,14767,24.76,2565,13801
1782284343.281,3,3,3,4,16,50,0,0,14767,23.71,2595,13801
1782284343.281,4,3,3,4,16,41,0,0,14767,18.39,2595,13801
1782284344.282,1,3,3,4,16,53,0,0,14767,21.09,2595,13801
1782284344.282,2,3,3,4,16,51,0,0,14767,24.75,2565,13801
1782284344.282,3,3,3,4,16,50,0,0,14767,23.69,2595,13801
1782284344.282,4,3,3,4,16,41,0,0,14767,18.40,2595,13801
1782284345.303,1,3,3,4,16,53,0,0,14767,20.87,2767,13801
1782284345.303,2,3,3,4,16,54,100,7,14767,31.74,2775,13801
1782284345.303,3,3,3,4,16,53,100,6,14767,27.10,2730,13801
1782284345.303,4,3,3,4,16,43,100,6,14767,23.05,2790,13801
1782284346.300,1,3,3,4,16,56,100,7,14767,38.08,2812,13801
1782284346.300,2,3,3,4,16,57,100,7,14767,54.50,2775,13801
1782284346.300,3,3,3,4,16,53,100,7,14767,50.53,2730,13801
1782284346.300,4,3,3,4,16,44,100,7,14767,46.95,2790,13801
1782284347.299,1,3,3,4,16,57,100,8,14767,55.40,2805,13801
1782284347.299,2,3,3,4,16,56,100,7,14767,54.81,2767,13801
1782284347.299,3,3,3,4,16,54,100,7,14767,51.36,2730,13801
1782284347.299,4,3,3,4,16,45,100,7,14767,47.75,2790,13801
1782284348.314,1,3,3,4,16,58,96,44,14767,58.65,2805,13801
1782284348.314,2,3,3,4,16,55,97,44,14767,62.82,2767,13801
1782284348.314,3,3,3,4,16,54,97,44,14767,56.60,2730,13801
1782284348.314,4,3,3,4,16,45,97,44,14767,54.25,2790,13801
1782284349.316,1,3,3,4,16,58,97,45,14767,74.71,2805,13801
1782284349.316,2,3,3,4,16,55,97,44,14767,72.59,2767,13801
1782284349.316,3,3,3,4,16,54,97,44,14767,69.05,2730,13801
1782284349.316,4,3,3,4,16,46,97,44,14767,66.15,2790,13801
1782284350.314,1,3,3,4,16,58,97,43,14767,74.61,2805,13801
1782284350.314,2,3,3,4,16,55,98,44,14767,72.61,2767,13801
1782284350.314,3,3,3,4,16,54,98,44,14767,68.95,2730,13801
1782284350.314,4,3,3,4,16,46,98,43,14767,66.00,2790,13801
1782284351.306,1,3,3,4,16,58,96,44,14767,74.61,2805,13801
1782284351.306,2,3,3,4,16,55,97,44,14767,72.51,2767,13801
1782284351.306,3,3,3,4,16,54,98,43,14767,68.89,2730,13801
1782284351.306,4,3,3,4,16,46,97,43,14767,65.98,2790,13801
1782284352.313,1,3,3,4,16,58,97,45,14767,75.00,2805,13801
1782284352.313,2,3,3,4,16,55,97,44,14767,72.80,2767,13801
1782284352.313,3,3,3,4,16,54,97,44,14767,69.15,2730,13801
1782284352.313,4,3,3,4,16,46,97,44,14767,66.31,2790,13801
1782284353.316,1,3,3,4,16,58,98,44,14767,74.89,2805,13801
1782284353.316,2,3,3,4,16,56,97,44,14767,72.87,2767,13801
1782284353.316,3,3,3,4,16,54,98,44,14767,69.07,2730,13801
1782284353.316,4,3,3,4,16,46,98,44,14767,66.35,2790,13801
1782284354.312,1,3,3,4,16,58,97,45,14767,75.06,2805,13801
