wall_epoch,index,pcie.link.gen.current,pcie.link.gen.max,pcie.link.width.current,pcie.link.width.max,temperature.gpu,utilization.gpu,utilization.memory,memory.used,power.draw,clocks.current.sm,clocks.current.memory
1782277131.321,1,3,3,4,16,58,96,58,15003,84.31,2812,13801
1782277131.321,2,3,3,4,16,55,85,50,15003,81.44,2775,13801
1782277131.321,3,3,3,4,16,50,0,0,15003,72.70,2737,13801
1782277131.321,4,3,3,4,16,56,64,37,15003,78.70,2782,13801
1782277132.320,1,3,3,4,16,53,0,0,15003,37.34,2812,13801
1782277132.320,2,3,3,4,16,50,0,0,15003,37.47,2782,13801
1782277132.320,3,3,3,4,16,48,0,0,15003,34.45,2745,13801
1782277132.320,4,3,3,4,16,53,0,0,15003,30.22,2782,13801
1782277133.322,1,3,3,4,16,53,0,0,15003,26.79,2812,13801
1782277133.322,2,3,3,4,16,50,0,0,15003,26.75,2782,13801
1782277133.322,3,3,3,4,16,48,0,0,15003,24.40,2745,13801
1782277133.322,4,3,3,4,16,53,0,0,15003,24.98,2760,13801
1782277134.322,1,3,3,4,16,52,0,0,15003,23.60,2595,13801
1782277134.322,2,3,3,4,16,49,0,0,15003,24.03,2565,13801
1782277134.322,3,3,3,4,16,47,0,0,15003,23.33,2595,13801
1782277134.322,4,3,3,4,16,52,0,0,15003,22.67,2595,13801
1782277135.318,1,3,3,4,16,51,0,0,15003,20.31,2595,13801
1782277135.318,2,3,3,4,16,49,0,0,15003,23.98,2565,13801
1782277135.318,3,3,3,4,16,47,0,0,15003,23.27,2595,13801
1782277135.318,4,3,3,4,16,52,0,0,15003,20.21,2595,13801
1782277136.322,1,3,3,4,16,51,0,0,15003,20.32,2595,13801
1782277136.322,2,3,3,4,16,49,0,0,15003,23.95,2565,13801
1782277136.322,3,3,3,4,16,47,0,0,15003,23.23,2595,13801
1782277136.322,4,3,3,4,16,51,0,0,15003,20.11,2595,13801
1782277137.323,1,3,3,4,16,51,0,0,15003,20.29,2595,13801
1782277137.323,2,3,3,4,16,49,0,0,15003,23.95,2565,13801
1782277137.323,3,3,3,4,16,47,0,0,15003,23.21,2595,13801
1782277137.323,4,3,3,4,16,51,0,0,15003,19.90,2595,13801
1782277138.323,1,3,3,4,16,51,0,0,15003,20.27,2595,13801
1782277138.323,2,3,3,4,16,49,0,0,15003,23.86,2565,13801
1782277138.323,3,3,3,4,16,47,0,0,15003,23.18,2595,13801
1782277138.323,4,3,3,4,16,50,0,0,15003,19.67,2595,13801
1782277139.323,1,3,3,4,16,51,0,0,15003,20.26,2595,13801
1782277139.323,2,3,3,4,16,49,0,0,15003,23.86,2565,13801
1782277139.323,3,3,3,4,16,47,0,0,15003,23.14,2595,13801
1782277139.323,4,3,3,4,16,50,0,0,15003,19.66,2595,13801
1782277140.323,1,3,3,4,16,50,0,0,15003,20.22,2595,13801
1782277140.323,2,3,3,4,16,49,0,0,15003,23.83,2565,13801
1782277140.323,3,3,3,4,16,47,0,0,15003,23.14,2595,13801
1782277140.323,4,3,3,4,16,50,0,0,15003,19.62,2595,13801
1782277141.378,1,3,3,4,16,53,100,5,15003,25.34,2812,13801
1782277141.378,2,3,3,4,16,51,100,5,15003,29.90,2782,13801
1782277141.378,3,3,3,4,16,50,100,5,15003,29.51,2745,13801
1782277141.378,4,3,3,4,16,52,100,5,15003,26.30,2782,13801
1782277142.382,1,3,3,4,16,53,100,5,15003,44.91,2812,13801
1782277142.382,2,3,3,4,16,51,100,5,15003,45.68,2782,13801
1782277142.382,3,3,3,4,16,49,100,5,15003,42.10,2745,13801
1782277142.382,4,3,3,4,16,52,100,5,15003,41.85,2775,13801
1782277143.379,1,3,3,4,16,53,100,5,15003,45.46,2812,13801
1782277143.379,2,3,3,4,16,51,100,4,15003,45.91,2782,13801
1782277143.379,3,3,3,4,16,49,100,5,15003,42.65,2745,13801
1782277143.379,4,3,3,4,16,52,100,5,15003,42.16,2775,13801
1782277144.373,1,3,3,4,16,53,100,4,15003,45.28,2812,13801
1782277144.373,2,3,3,4,16,51,100,5,15003,45.99,2782,13801
1782277144.373,3,3,3,4,16,52,100,4,15003,42.34,2745,13801
1782277144.373,4,3,3,4,16,51,100,4,15003,41.80,2782,13801
1782277145.382,1,3,3,4,16,55,100,4,15003,45.18,2812,13801
1782277145.382,2,3,3,4,16,51,100,5,15003,46.31,2782,13801
1782277145.382,3,3,3,4,16,49,100,5,15003,42.42,2745,13801
1782277145.382,4,3,3,4,16,51,100,4,15003,41.83,2790,13801
1782277146.382,1,3,3,4,16,53,100,5,15003,44.89,2812,13801
1782277146.382,2,3,3,4,16,51,100,4,15003,46.05,2782,13801
1782277146.382,3,3,3,4,16,49,100,5,15003,42.75,2745,13801
1782277146.382,4,3,3,4,16,54,100,5,15003,42.15,2790,13801
1782277147.373,1,3,3,4,16,53,100,4,15003,45.48,2812,13801
1782277147.373,2,3,3,4,16,51,100,4,15003,45.81,2782,13801
1782277147.373,3,3,3,4,16,49,100,5,15003,42.45,2745,13801
1782277147.373,4,3,3,4,16,51,100,5,15003,41.98,2790,13801
1782277148.362,1,3,3,4,16,55,98,38,15003,56.27,2805,13801
1782277148.362,2,3,3,4,16,52,97,37,15003,57.30,2767,13801
1782277148.362,3,3,3,4,16,50,98,38,15003,56.05,2737,13801
1782277148.362,4,3,3,4,16,52,98,37,15003,54.64,2775,13801
1782277149.360,1,3,3,4,16,55,98,39,15003,67.97,2805,13801
1782277149.360,2,3,3,4,16,52,97,38,15003,66.56,2767,13801
1782277149.360,3,3,3,4,16,51,98,37,15003,62.88,2737,13801
1782277149.360,4,3,3,4,16,52,98,38,15003,63.40,2775,13801
1782277150.358,1,3,3,4,16,55,97,39,15003,68.00,2805,13801
1782277150.358,2,3,3,4,16,53,98,37,15003,66.72,2767,13801
1782277150.358,3,3,3,4,16,51,97,38,15003,62.85,2737,13801
1782277150.358,4,3,3,4,16,52,98,37,15003,63.46,2775,13801
1782277151.366,1,3,3,4,16,55,97,38,15003,68.03,2805,13801
1782277151.366,2,3,3,4,16,52,98,37,15003,66.38,2767,13801
1782277151.366,3,3,3,4,16,51,98,38,15003,62.92,2737,13801
1782277151.366,4,3,3,4,16,52,98,37,15003,63.20,2775,13801
1782277152.356,1,3,3,4,16,55,98,39,15003,68.06,2805,13801
1782277152.356,2,3,3,4,16,53,97,38,15003,66.44,2767,13801
1782277152.356,3,3,3,4,16,51,99,37,15003,62.87,2737,13801
1782277152.356,4,3,3,4,16,52,98,37,15003,63.39,2775,13801
1782277153.351,1,3,3,4,16,55,98,39,15003,68.06,2805,13801
1782277153.351,2,3,3,4,16,53,97,38,15003,66.54,2767,13801
1782277153.351,3,3,3,4,16,51,98,37,15003,62.99,2737,13801
1782277153.351,4,3,3,4,16,52,97,36,15003,63.35,2775,13801
1782277154.362,1,3,3,4,16,55,98,39,15003,68.17,2805,13801
1782277154.362,2,3,3,4,16,53,98,37,15003,66.60,2767,13801
1782277154.362,3,3,3,4,16,51,97,37,15003,63.00,2737,13801
1782277154.362,4,3,3,4,16,51,97,37,15003,63.29,2775,13801
1782277155.352,1,3,3,4,16,55,97,38,15003,68.19,2805,13801
1782277155.352,2,3,3,4,16,53,98,37,15003,66.70,2767,13801
1782277155.352,3,3,3,4,16,51,97,38,15003,62.90,2737,13801
1782277155.352,4,3,3,4,16,51,98,38,15003,63.21,2775,13801
1782277156.359,1,3,3,4,16,55,97,39,15003,68.44,2805,13801
1782277156.359,2,3,3,4,16,53,97,36,15003,66.60,2767,13801
1782277156.359,3,3,3,4,16,51,98,38,15003,62.92,2737,13801
1782277156.359,4,3,3,4,16,51,98,37,15003,63.14,2775,13801
1782277157.364,1,3,3,4,16,55,98,38,15003,68.29,2805,13801
1782277157.364,2,3,3,4,16,53,97,38,15003,66.66,2767,13801
1782277157.364,3,3,3,4,16,51,98,37,15003,63.02,2737,13801
1782277157.364,4,3,3,4,16,51,98,37,15003,63.14,2775,13801
1782277158.355,1,3,3,4,16,55,98,39,15003,68.24,2805,13801
1782277158.355,2,3,3,4,16,53,98,38,15003,66.69,2767,13801
1782277158.355,3,3,3,4,16,51,97,37,15003,63.08,2737,13801
1782277158.355,4,3,3,4,16,51,98,38,15003,63.16,2775,13801
1782277159.350,1,3,3,4,16,55,97,40,15003,68.59,2805,13801
1782277159.350,2,3,3,4,16,53,98,37,15003,66.73,2767,13801
1782277159.350,3,3,3,4,16,51,97,37,15003,63.22,2737,13801
